usher_node,pango_counts,sc2ts_mrca,sc2ts_num_descendants,sc2ts_closest_recombinant,sc2ts_closest_recombinant_path_len,usher_num_descendants
SRR21610934,{'BA.5.2': 1},1360126,1,1189192,6,1
node_600484,{'XBR': 1},1420165,1,1420166,1,1
SRR20186719,{'AY.119.2': 1},862839,2,295320,7,1
node_181040,{'AY.4': 2},378676,282,-1,2147483648,2
ERR6758858,{'AY.4': 1},478619,1,478620,1,1
ERR7310305,{'AY.4': 1},707305,1,707306,1,1
node_180844,{'AY.4.2': 6},606246,24,-1,2147483648,6
ERR7239088,{'AY.4': 1},615438,1,-1,2147483648,1
node_181129,{'AY.107': 2},392053,2,295320,9,2
ERR6492835,{'AY.100': 1},373069,1,-1,2147483648,1
SRR20258232,{'AY.39.1': 1},652406,1,652407,1,1
node_180673,{'B.1.617.2': 3},638821,3,295320,4,3
node_309654,{'AY.44': 8},891576,8,867631,1,8
node_181897,{'AY.100': 1},894830,1,894831,1,1
node_175008,{'AY.100': 2},887697,2,753831,1,2
SRR15628733,{'AY.110': 1},395118,1,-1,2147483648,1
SRR22255468,{'BA.5': 1},1381415,1,1381416,1,1
ERR6342716,{'B.1.617.2': 1},321709,1,-1,2147483648,1
ERR9278240,{'BA.2': 1},1123299,1,1123300,1,1
node_180938,{'AY.4': 2},238065,612069,-1,2147483648,2
SRR21458174,{'BA.4': 1},1344976,1,1344977,1,1
ERR5458848,{'B.1.1.7': 1},143656,1,-1,2147483648,1
node_484010,{'BA.1': 2},1049887,2,960706,1,2
ERR7379837,{'AY.4': 1},696342,1,295320,4,1
node_505750,{'BA.1': 1},1162484,1,1162485,1,1
node_181295,{'AY.39': 3},872957,3,-1,2147483648,3
ERR5238288,{'B.1.177.9': 1},104753,1,104754,1,1
ERR6622251,{'AY.4': 1},431503,1,295320,3,1
node_581670,{'BF.1': 1},1321669,1,1321670,1,1
node_572039,{'BA.5.2.1': 1},1428038,1,1428039,1,1
SRR16706479,{'AY.100': 1},599994,1,-1,2147483648,1
SRR21370350,{'BA.5.1.2': 1},1340296,1,1189192,7,1
ERR7305778,{'AY.4': 1},698138,1,698139,1,1
SRR21173296,{'AY.26': 1},685800,1,-1,2147483648,1
node_504685,{'BA.1.18': 1},2453925,1,1044332,4,1
node_431210,"{'BA.1': 1, 'BA.1.19': 2, 'BA.1.17': 1}",987426,863,-1,2147483648,4
SRR15775745,{'AY.3': 1},424562,13,-1,2147483648,1
