clade_membership	oldest_node_id	date	date_CI
19A	NA	2019.9847997176773	{2019.8708878872378,2019.9849315068493}
19B	NA	2019.9957714349287	{2019.9938195352051,2019.997824446089}
20A	NA	2020.020183258407	{2020.0177598303433,2020.023647306843}
20B	NA	2020.0872203546191	{2020.029361822064,2020.088193452163}
20C	NA	2020.1498357414446	{2020.1489176616594,2020.1498357414446}
20D	NA	2020.212857108477	{2020.1935054585513,2020.2281420765028}
20E  EU1	NA	2020.4626598503826	{2020.3054952693694,2020.6189085042483}
20F	NA	2020.4623738287557	{2020.3609283897983,2020.5611637141672}
20G	NA	2020.4303911410925	{2020.3105282578513,2020.5531506868185}
20H  Beta V2	NA	2020.6562302039167	{2020.4995288560922,2020.7518557198334}
20I  Alpha V1	NA	2020.5613191963794	{2020.4691410920252,2020.6617438539738}
20J  Gamma V3	NA	2020.9376461326065	{2020.7714714834763,2021.0351735809531}
21A  Delta	NA	2020.7076460449298	{2020.3854458982612,2020.9131911641591}
21B  Kappa	hCoV-19/HongKong/HKU-177/2021	2021.2890410958903	{2021.2890410958903,2021.2890410958903}
21C  Epsilon	NA	2020.7125318852486	{2020.3849786646358,2020.8912224203932}
21D  Eta	NA	2020.9151886145312	{2020.6465687971063,2021.033803779835}
21F  Iota	NA	2021.0866573424553	{2020.7958329770786,2021.194284480856}
21G  Lambda	NA	2021.0093314572593	{2020.8441701072302,2021.1057706637032}
21H  Mu	NA	2020.9872669245633	{2020.7539072880004,2021.098167044774}
21I  Delta	NA	2020.9135285592433	{2020.6241623903616,2021.0566096815771}
21J  Delta	NA	2020.8697392651559	{2020.6863858512631,2020.9607473061717}
21K  Omicron	NA	2021.708494059971	{2021.4669583757566,2021.800245664692}
21L  Omicron	NA	2021.643760199054	{2021.1891085959103,2021.8359836662373}
21M  Omicron	NA	2021.29778712844	{2020.8341613323992,2021.5945060206257}
22A  Omicron	NA	2022.1408600334153	{2021.9432903196289,2022.2801535513026}
22B  Omicron	NA	2022.2174822984969	{2021.9814433462052,2022.3054181216985}
22C  Omicron	NA	2022.1545806185673	{2022.0202863544607,2022.238900212484}
22D  Omicron	NA	2022.4751795109455	{2022.0963312662707,2022.5925311764356}
22E  Omicron	NA	2022.5432010659074	{2022.3968332338588,2022.6559358275947}
22F  Omicron	NA	2022.5867768941634	{2022.367891092956,2022.7265441049994}
