pango_lineage	nextstrain_clade
A	19B
A.1	19B
A.11	19B
A.12	19B
A.15	19B
A.16	19B
A.17	19B
A.18	19B
A.19	19B
A.2	19B
A.2.2	19B
A.2.3	19B
A.2.4	19B
A.2.5	19B
A.2.5.1	19B
A.2.5.2	19B
A.2.5.3	19B
A.21	19B
A.22	19B
A.23	19B
A.23.1	19B
A.24	19B
A.25	19B
A.26	19B
A.27	19B
A.28	19B
A.29	19B
A.3	19B
A.30	19B
A.4	19B
A.5	19B
A.6	19B
A.7	19B
A.9	19B
AA.1	20E
AA.2	20E
AA.3	20E
AA.4	20E
AA.5	20E
AA.6	20E
AA.7	20E
AA.8	20E
AB.1	20A
AC.1	20B
AD.1	20B
AD.2	20B
AD.2.1	20B
AE.1	20B
AE.2	20B
AE.3	20B
AE.4	20B
AE.5	20B
AE.6	20B
AE.7	20B
AE.8	20B
AF.1	20B
AG.1	20B
AH.1	20B
AH.2	20B
AH.3	20B
AJ.1	20B
AK.1	20B
AK.2	20B
AL.1	20B
AM.1	20B
AM.2	20B
AM.3	20B
AM.4	20B
AN.1	20B
AP.1	20B
AQ.1	20B
AQ.2	20B
AS.1	20B
AS.2	20B
AT.1	20B
AU.1	20A
AU.2	20A
AU.3	20A
AV.1	20B
AW.1	20B
AY.1	21J
AY.10	21I
AY.100	21J
AY.101	21J
AY.102	21J
AY.102.1	21J
AY.102.2	21J
AY.103	21J
AY.103.1	21J
AY.103.2	21J
AY.104	21J
AY.105	21J
AY.106	21J
AY.107	21J
AY.108	21J
AY.109	21J
AY.11	21I
AY.110	21J
AY.111	21J
AY.112	21J
AY.112.1	21J
AY.112.2	21J
AY.112.3	21J
AY.113	21J
AY.114	21J
AY.116	21J
AY.116.1	21J
AY.117	21J
AY.118	21J
AY.119	21J
AY.119.1	21J
AY.119.2	21J
AY.120	21J
AY.120.1	21J
AY.120.2	21J
AY.120.2.1	21J
AY.121	21J
AY.121.1	21J
AY.122	21J
AY.122.1	21J
AY.122.2	21J
AY.122.3	21J
AY.122.4	21J
AY.122.5	21J
AY.122.6	21J
AY.123	21J
AY.123.1	21J
AY.124	21J
AY.124.1	21J
AY.124.1.1	21J
AY.125	21J
AY.125.1	21J
AY.126	21J
AY.127	21J
AY.127.1	21J
AY.127.2	21J
AY.127.3	21J
AY.128	21J
AY.129	21J
AY.13	21A
AY.131	21J
AY.132	21J
AY.133	21I
AY.134	21J
AY.14	21A
AY.15	21A
AY.16	21A
AY.16.1	21A
AY.17	21A
AY.18	21A
AY.19	21A
AY.2	21I
AY.20	21J
AY.20.1	21J
AY.21	21J
AY.22	21J
AY.23	21J
AY.23.1	21J
AY.23.2	21J
AY.24	21I
AY.24.1	21I
AY.25	21J
AY.25.1	21J
AY.25.1.1	21J
AY.25.1.2	21J
AY.25.2	21J
AY.25.3	21J
AY.26	21I
AY.26.1	21I
AY.27	21I
AY.28	21I
AY.29	21J
AY.29.1	21J
AY.29.2	21J
AY.3	21J
AY.3.1	21J
AY.3.2	21J
AY.3.3	21J
AY.3.4	21J
AY.30	21A
AY.31	21A
AY.32	21J
AY.33	21J
AY.33.1	21J
AY.33.2	21J
AY.34	21J
AY.34.1	21J
AY.34.1.1	21J
AY.34.2	21J
AY.35	21A
AY.36	21J
AY.36.1	21J
AY.37	21I
AY.38	21I
AY.39	21J
AY.39.1	21J
AY.39.1.1	21J
AY.39.1.2	21J
AY.39.1.3	21J
AY.39.1.4	21J
AY.39.2	21J
AY.39.3	21J
AY.4	21J
AY.4.1	21J
AY.4.10	21J
AY.4.11	21J
AY.4.12	21J
AY.4.13	21J
AY.4.14	21J
AY.4.15	21J
AY.4.16	21J
AY.4.17	21J
AY.4.2	21J
AY.4.2.1	21J
AY.4.2.2	21J
AY.4.2.3	21J
AY.4.2.4	21J
AY.4.2.5	21J
AY.4.3	21J
AY.4.4	21J
AY.4.5	21J
AY.4.6	21J
AY.4.7	21J
AY.4.8	21J
AY.4.9	21J
AY.40	21A
AY.41	21J
AY.42	21J
AY.42.1	21J
AY.43	21J
AY.43.1	21J
AY.43.2	21J
AY.43.3	21J
AY.43.4	21J
AY.43.5	21J
AY.43.6	21J
AY.43.7	21J
AY.43.8	21J
AY.43.9	21J
AY.44	21J
AY.45	21J
AY.46	21J
AY.46.1	21J
AY.46.2	21J
AY.46.3	21J
AY.46.4	21J
AY.46.5	21J
AY.46.6	21J
AY.46.6.1	21J
AY.47	21I
AY.48	21A
AY.49	21A
AY.5	21J
AY.5.1	21J
AY.5.2	21J
AY.5.3	21J
AY.5.4	21J
AY.5.5	21J
AY.5.6	21J
AY.5.7	21J
AY.50	21A
AY.51	21A
AY.52	21A
AY.53	21A
AY.54	21A
AY.55	21I
AY.56	21I
AY.57	21I
AY.58	21I
AY.59	21I
AY.6	21J
AY.60	21I
AY.61	21I
AY.62	21I
AY.63	21I
AY.64	21I
AY.65	21I
AY.66	21I
AY.67	21I
AY.68	21I
AY.69	21I
AY.7	21J
AY.7.1	21J
AY.7.2	21J
AY.70	21I
AY.71	21I
AY.72	21I
AY.73	21I
AY.74	21I
AY.75	21I
AY.75.2	21I
AY.75.3	21I
AY.76	21J
AY.77	21J
AY.78	21J
AY.79	21J
AY.8	21A
AY.80	21J
AY.81	21J
AY.82	21J
AY.83	21J
AY.84	21J
AY.85	21J
AY.86	21J
AY.87	21J
AY.88	21J
AY.9	21I
AY.9.2	21I
AY.9.2.1	21I
AY.9.2.2	21I
AY.90	21J
AY.91	21J
AY.91.1	21J
AY.92	21J
AY.93	21J
AY.94	21J
AY.95	21J
AY.98	21J
AY.98.1	21J
AY.98.1.1	21J
AY.99	21J
AY.99.1	21J
AY.99.2	21J
AZ.1	20B
AZ.2	20B
AZ.2.1	20B
AZ.3	20B
AZ.4	20B
AZ.5	20B
AZ.6	20B
B	19A
B.1	20A
B.1.1	20B
B.1.1.1	20D
B.1.1.10	20B
B.1.1.100	20B
B.1.1.101	20B
B.1.1.107	20B
B.1.1.109	20B
B.1.1.110	20B
B.1.1.111	20B
B.1.1.112	20B
B.1.1.113	20B
B.1.1.114	20B
B.1.1.115	20B
B.1.1.116	20B
B.1.1.117	20B
B.1.1.118	20B
B.1.1.119	20B
B.1.1.12	20B
B.1.1.120	20B
B.1.1.121	20B
B.1.1.122	20B
B.1.1.123	20B
B.1.1.125	20B
B.1.1.127	20B
B.1.1.128	20B
B.1.1.129	20B
B.1.1.13	20B
B.1.1.130	20B
B.1.1.132	20B
B.1.1.133	20B
B.1.1.134	20B
B.1.1.135	20B
B.1.1.136	20B
B.1.1.137	20B
B.1.1.138	20B
B.1.1.139	20B
B.1.1.14	20B
B.1.1.141	20B
B.1.1.142	20B
B.1.1.144	20B
B.1.1.145	20B
B.1.1.147	20B
B.1.1.148	20B
B.1.1.149	20B
B.1.1.15	20B
B.1.1.152	20B
B.1.1.153	20B
B.1.1.154	20B
B.1.1.155	20B
B.1.1.157	20B
B.1.1.158	20B
B.1.1.159	20B
B.1.1.16	20B
B.1.1.160	20B
B.1.1.161	20B
B.1.1.162	20B
B.1.1.163	20B
B.1.1.164	20B
B.1.1.165	20B
B.1.1.166	20B
B.1.1.168	20B
B.1.1.169	20B
B.1.1.17	20B
B.1.1.170	20B
B.1.1.171	20B
B.1.1.172	20B
B.1.1.174	20B
B.1.1.175	20B
B.1.1.176	20B
B.1.1.177	20B
B.1.1.178	20B
B.1.1.180	20B
B.1.1.181	20B
B.1.1.182	20B
B.1.1.184	20B
B.1.1.185	20B
B.1.1.186	20B
B.1.1.187	20B
B.1.1.189	20B
B.1.1.190	20B
B.1.1.191	20B
B.1.1.192	20B
B.1.1.193	20B
B.1.1.194	20B
B.1.1.196	20B
B.1.1.197	20B
B.1.1.198	20B
B.1.1.200	20B
B.1.1.201	20B
B.1.1.202	20B
B.1.1.203	20B
B.1.1.204	20B
B.1.1.205	20B
B.1.1.207	20B
B.1.1.208	20B
