root,root_pango,root_mutations,root_type,pango_samples,non_pango_samples,closest_recombinant,closest_recombinant_path_len,closest_recombinant_time,closest_recombinant_descendants,pango
1000242,XS,1,R,17,{},1000242,0.0,0.0,{'XS': 17},XS
1422955,XBQ,1,I,14,{},-1,inf,inf,{},XBQ
1363926,XBE,3,I,65,{},1189192,6.0,135.71881972774935,{'too_many_to_classify': 166127},XBE
1148222,XR,4,I,17,{'BA.2': 1},1058654,3.0,10.999999999900012,"{'XQ': 55, 'BA.2': 37, 'XAM': 21, 'XR': 17, 'XAA': 17, 'XAG': 6, 'XU': 1}",XR
1420385,XBF,3,R,185,{},1420385,0.0,0.0,"{'XBF': 124, 'XBF.4': 22, 'XBF.3': 22, 'XBF.9': 4, 'XBF.2': 4, 'XBF.7': 3, 'XBF.1': 2, 'XBF.6': 2, 'XBF.10': 1, 'XBF.5': 1}",XBF
1314603,XAF,8,S,1,{},1177107,5.0,140.00000000019998,"{'BA.2': 35, 'XAF': 1}",XAF
1378208,XBD,0,R,30,{},1378208,0.0,0.0,{'XBD': 30},XBD
1034619,XL,1,R,64,{},1034619,0.0,0.0,{'XL': 64},XL
1420166,XBR,2,R,1,{},1420166,0.0,0.0,{'XBR': 1},XBR
1216836,XAP,1,I,20,{},964555,4.0,67.37198314159372,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAP
966904,XJ,2,S,68,{'BA.2': 3},966905,1.0,5.000000000099988,"{'XJ': 68, 'BA.2': 17}",XJ
1092789,XP,1,S,45,{},-1,inf,inf,{},XP
1291970,XBG,2,R,25,{},1291970,0.0,0.0,{'XBG': 25},XBG
946761,XF,1,R,16,{},946761,0.0,0.0,{'XF': 16},XF
1358392,XBM,1,I,10,{},1348822,1.0,22.76016851964073,"{'XBM': 10, 'BF.3': 2}",XBM
1396207,XBB,14,R,6452,{'BA.2': 1},1396207,0.0,0.0,"{'XBB.1.5': 3338, 'XBB.1': 524, 'XBB.1.5.7': 224, 'XBB.1.5.18': 117, 'XBB.1.5.13': 106, 'XBB.2': 96, 'XBB.1.5.15': 89, 'XBB.1.5.31': 83, 'XBB': 71, 'XBB.1.5.32': 69, 'FL.3': 69, 'XBB.1.5.20': 64, 'XBB.1.5.17': 64, 'XBB.1.15': 60, 'EM.1': 57, 'XBB.1.5.52': 50, 'XBB.1.5.21': 46, 'XBB.1.5.48': 42, 'XBB.1.5.1': 41, 'XBB.1.5.16': 40, 'XBB.1.5.11': 40, 'XBB.1.5.33': 40, 'XBB.1.5.47': 39, 'XBB.1.5.19': 35, 'XBB.2.5': 33, 'XBB.1.9.1': 33, 'XBB.3': 28, 'XBB.1.5.95': 28, 'XBB.1.5.25': 27, 'XBB.1.5.67': 25, 'XBB.1.5.51': 23, 'XBB.1.5.62': 23, 'FD.2': 23, 'XBB.1.5.24': 23, 'XBB.2.6': 23, 'FL.3.2': 22, 'XBB.1.5.4': 22, 'XBB.1.5.55': 20, 'FL.3.1': 19, 'XBB.1.9': 19, 'XBB.1.1': 19, 'FD.4': 18, 'XBB.2.11.1': 18, 'XBB.1.5.3': 17, 'XBB.2.8': 16, 'XBB.1.5.96': 16, 'XBB.1.5.66': 15, 'XBB.1.5.9': 14, 'XBB.1.5.30': 14, 'XBB.1.5.34': 14, 'XBB.1.5.49': 13, 'XBB.1.5.36': 12, 'XBB.2.1': 12, 'XBB.1.5.69': 11, 'XBB.1.32': 11, 'XBB.1.5.80': 11, 'XBB.1.5.61': 11, 'GC.2': 10, 'FD.1': 10, 'XBB.1.5.2': 10, 'XBB.3.2': 10, 'XBB.1.5.8': 10, 'XBB.1.5.88': 9, 'EG.1': 9, 'FZ.1': 9, 'FL.1': 9, 'XBB.6.1': 9, 'XBB.1.4.1': 9, 'FL.13': 8, 'XBB.1.4': 8, 'XBB.8': 8, 'XBB.1.5.107': 8, 'FH.1': 8, 'XBB.1.5.12': 7, 'XBB.1.5.5': 7, 'XBB.1.13': 7, 'XBB.1.5.6': 7, 'XBB.2.2': 6, 'FL.4': 6, 'XBB.1.5.65': 6, 'XBB.1.5.77': 6, 'XBB.1.5.57': 5, 'XBB.1.5.63': 5, 'EK.3': 5, 'XBB.1.5.10': 5, 'XBB.2.7': 5, 'EK.2': 5, 'FL.5': 5, 'XBB.3.1': 5, 'FL.3.3': 5, 'XBB.1.5.46': 5, 'XBB.1.5.39': 4, 'XBB.1.5.26': 4, 'XBB.1.22.1': 4, 'XBB.1.5.14': 4, 'XBB.1.5.35': 4, 'XBB.2.4': 4, 'XBB.1.5.56': 4, 'FL.10': 4, 'XBB.1.30': 4, 'XBB.1.5.91': 4, 'FL.3.4': 4, 'XBB.2.10': 4, 'FL.27': 4, 'XBB.1.18.1': 3, 'HT.1': 3, 'XBB.1.5.23': 3, 'XBB.1.5.73': 3, 'XBB.1.5.79': 3, 'FL.18': 3, 'XBB.1.5.90': 3, 'XBB.1.5.28': 3, 'XBB.1.37': 3, 'XBB.1.43.1': 3, 'XBB.1.5.38': 3, 'XBB.1.45.1': 3, 'XBB.1.5.64': 3, 'XBB.1.5.97': 3, 'XBB.1.7': 3, 'FG.3': 3, 'EG.1.4': 2, 'XBB.1.45': 2, 'FL.23': 2, 'FL.17': 2, 'XBB.1.34': 2, 'XBB.1.5.59': 2, 'XBB.1.5.37': 2, 'XBB.1.5.100': 2, 'XBB.1.5.41': 2, 'XBB.1.5.43': 2, 'XBB.4': 2, 'XBB.1.5.78': 2, 'XBB.1.3': 2, 'XBB.1.35': 2, 'XBB.1.9.4': 2, 'XBB.1.18': 2, 'XBB.9': 2, 'FG.2': 2, 'XBB.1.11': 2, 'XBB.6': 2, 'XBB.3.5': 2, 'FD.3': 1, 'GD.2': 1, 'EG.3': 1, 'EU.1.1': 1, 'XBB.1.5.75': 1, 'XBB.1.46': 1, 'HT.2': 1, 'FZ.2': 1, 'XBB.1.28': 1, 'EG.1.3': 1, 'XBB.1.14': 1, 'EK.2.1': 1, 'XBB.1.5.40': 1, 'FG.1': 1, 'XBB.1.9.2': 1, 'FL.31': 1, 'FD.4.1': 1, 'XBB.1.5.86': 1, 'XBB.1.5.102': 1, 'XBB.1.5.60': 1, 'BA.2': 1, 'XBB.1.5.93': 1, 'XBB.1.5.104': 1, 'XBB.1.29': 1, 'FL.2': 1, 'GC.1': 1, 'EG.4': 1, 'FT.3': 1, 'GA.1': 1, 'XBB.1.43': 1}",XBB
1429711,XBB.1,1,R,2,{},1429711,0.0,0.0,{'XBB.1': 2},XBB
122444,XA,1,R,39,{},122444,0.0,0.0,{'XA': 39},XA
1265115,XAS,1,S,77,{},-1,inf,inf,{},XAS
1083412,XG,3,R,3,{},1083412,0.0,0.0,{'XG': 3},XG
1058654,XQ,3,R,55,"{'BA.2': 37, 'XR': 17, 'XAA': 17, 'XU': 1, 'XAM': 21, 'XAG': 6}",1058654,0.0,0.0,"{'XQ': 55, 'BA.2': 37, 'XAM': 21, 'XR': 17, 'XAA': 17, 'XAG': 6, 'XU': 1}",XQ
1061700,XN,1,S,120,{'BA.2': 1},-1,inf,inf,{},XN
1163537,XZ,1,I,48,{},964555,4.0,48.18174808789672,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XZ
1395926,XBH,2,I,2,{},1379419,1.0,26.912877675843134,"{'BA.2': 4, 'XBH': 2}",XBH
1187989,XY,2,R,23,{},1187989,0.0,0.0,{'XY': 23},XY
1276376,XAJ,11,I,18,{},-1,inf,inf,{},XAJ
1301399,XAN,5,I,7,{},1189192,4.0,114.00002169206772,{'too_many_to_classify': 166127},XAN
1118099,XAE,7,S,9,{},964555,2.0,47.00000000029996,"{'BA.2': 156, 'XZ': 48, 'XAP': 20, 'XAC': 18, 'XAE': 9, 'XAD': 2}",XAE
1243765,XU,4,S,1,{},1058654,6.0,103.0,"{'XQ': 55, 'BA.2': 37, 'XAM': 21, 'XR': 17, 'XAA': 17, 'XAG': 6, 'XU': 1}",XU
1231548,XAU,1,S,8,{},-1,inf,inf,{},XAU
1285706,XAZ,3,I,133,{},1189192,2.0,62.495129254717654,{'too_many_to_classify': 166127},XAZ
1425824,XBK,1,I,7,{},-1,inf,inf,{},XBK
1098084,XH,7,S,2,{},965353,1.0,55.0,"{'XE': 1116, 'BA.2': 37, 'XH': 2, 'XAF': 1}",XH
