pango,pango_designation_issue,pango_designation_type,pango_designation_left_pango_parent,pango_designation_right_pango_parent,pango_designation_left_breakpoint,pango_designation_right_breakpoint,viridian04_num_samples_pass,viridian04_num_samples_filtered,viridian04_sublineages_filtered,viridian04_is_in_filtered,sc2ts_issue,sc2ts_is_in_arg,sc2ts_is_in_matches,sc2ts_type,sc2ts_is_clean,sc2ts_is_nested,sc2ts_is_pango_parents_concordant,sc2ts_left_pango_parent,sc2ts_right_pango_parent,sc2ts_left_breakpoint,sc2ts_right_breakpoint,rh_gisaid_is_in,rh_gisaid_type,rh_gisaid_left_pango_parent,rh_gisaid_right_pango_parent,rh_gisaid_left_breakpoint,rh_gisaid_right_breakpoint,rh_nextstrain_is_in,rh_nextstrain_type,rh_nextstrain_left_pango_parent,rh_nextstrain_right_pango_parent,rh_nextstrain_left_breakpoint,rh_nextstrain_right_breakpoint,covrecomb_is_in,covrecomb_type,covrecomb_left_pango_parent,covrecomb_right_pango_parent,covrecomb_left_breakpoint,covrecomb_right_breakpoint
XA,https://github.com/cov-lineages/pango-designation/issues/63,simple,B.1.177,B.1.1.7,21254,21765,43,42,,TRUE,,TRUE,n/a,simple,TRUE,FALSE,TRUE,B.1.177.18,B.1.1.7,20411,22227,TRUE,simple,B.1.177.18,B.1.1.7,21257,21258,TRUE,simple,B.1.177.18,B.1.1.7,21300,21301,TRUE,simple,B.1.1.7*,B.1.177.18,21255,21765
XAA,https://github.com/cov-lineages/pango-designation/issues/664,simple,BA.1*,BA.2*,8938,9344,23,22,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.1.15,BA.2.9,4322,5386,TRUE,simple,BA.1.20,BA.2,8250,8251,TRUE,simple,BA.1.20,BA.2,8250,8251,FALSE,n/a,n/a,n/a,n/a,n/a
XAB,https://github.com/cov-lineages/pango-designation/issues/665,simple,BA.1*,BA.2*,6515,8393,2,2,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,FALSE,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.1.1.16,BA.2,6512,6513,TRUE,simple,BA.1.6,BA.2.27,5387,5388,TRUE,simple,BA.1.1*,BA.2.31,8393,11288
XAD,https://github.com/cov-lineages/pango-designation/issues/607,simple,BA.2*,BA.1*,26062,26529,4,4,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.2,BA.1.17.2,24504,26060,TRUE,simple,BA.2,BA.1.14.1,26274,26275,TRUE,simple,BA.2,BA.1,26274,26275,FALSE,n/a,n/a,n/a,n/a,n/a
XAE,https://github.com/cov-lineages/pango-designation/issues/637,simple,BA.2*,BA.1*,24505,26049,12,12,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/339,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.2,BA.1.17.2,24504,26060,TRUE,simple,BA.2,BA.1.14,25584,25585,TRUE,simple,BA.2,BA.1,25593,25594,TRUE,simple,BA.2.3.16,B.1.1.322,27807,28877
XAF,https://github.com/cov-lineages/pango-designation/issues/676,simple,BA.1*,BA.2*,10447,11288,21,19,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/360,TRUE,n/a,simple,FALSE,FALSE,TRUE,BA.1.1,BA.2,10199,10447,TRUE,simple,BA.1.1.16,BA.2.9,10448,10449,TRUE,simple,BA.1.1.9,BA.2.7,10203,10204,TRUE,simple,BA.1.1.7,BA.2.9*,8393,11288
XAG,https://github.com/cov-lineages/pango-designation/issues/709,simple,BA.1*,BA.2*,6515,8393,11,9,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/338,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.1.15,BA.2.9,4322,5386,TRUE,simple,BA.1.1.14,BA.2,5387,5388,TRUE,simple,BA.1.1.14,BA.2.9,6524,6525,TRUE,simple,BA.1.1*,BA.2.9*,6513,9534
XAH,https://github.com/cov-lineages/pango-designation/issues/755,simple,BA.2*,BA.1*,26858,27382,2,2,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/366,FALSE,FALSE,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,simple,BA.2,BA.1.17,26274,26275,TRUE,simple,BA.2,BA.1.1.18,26061,26062,FALSE,n/a,n/a,n/a,n/a,n/a
XAJ,https://github.com/cov-lineages/pango-designation/issues/826,simple,BA.2.12.1*,BA.4*,-,-,33,30,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/352,TRUE,n/a,non,n/a,n/a,n/a,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,non,n/a,n/a,n/a,n/a,TRUE,complex,-,-,-,-
XAL,https://github.com/cov-lineages/pango-designation/issues/757,simple,BA.1*,BA.2*,17412,19954,3,3,,TRUE,https://github.com/jeromekelleher/sc2ts-paper/issues/365,TRUE,n/a,simple,TRUE,TRUE,TRUE,BA.1.1,BA.2,17411,21762,TRUE,simple,BA.1.1,BA.2,17420,17421,TRUE,simple,BA.1.1,BA.2,17426,17427,TRUE,simple,BA.1.1*,BA.2.23,15240,19955
