,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,breakpoint,breakpoint_interval_left,breakpoint_interval_right,left_parent,right_parent,left_parent_imputed_lineage,right_parent_imputed_lineage,mrca,mrca_date,fwd_bck_parents_max_dist,parents_dist_days
0,USA/WA-UW-2142/2020,2020-03-25,B.1.320,6799,1,2,4,True,True,True,True,True,379,92,380,1748,3829,B.1.371,B.1.320,1484,2020-03-08,0.0,12.457142857142912
1,Luxembourg/LNS0522318/2020,2020-04-04,B.1,10617,1,2,6,True,True,True,True,True,4320,2832,4321,9153,7627,B.1,B.1,179,2020-02-20,0.0,40.799999999999955
2,Luxembourg/LNS2129030/2020,2020-04-23,B.1,14596,1,2,6,True,True,True,True,True,2831,2828,2832,9153,3057,B.1,B.1,179,2020-02-20,0.0,44.60000000000002
3,India/TG-CCMB-L1090/2020,2020-05-13,B.1.1.306,17375,3,2,6,True,True,True,True,True,27382,25424,27383,17236,10105,B.1.1.306,B.1.1,179,2020-02-20,0.0,82.20000000000005
4,India/TG-CCMB-L1470/2020,2020-05-25,B.1,18231,2,2,3,True,True,True,True,True,27379,26736,27380,1089,17374,B.1,B.1.1.306,179,2020-02-20,0.0,85.39999999999998
5,India/GJ-GBRC160b/2020,2020-05-27,B.1,18444,1,2,4,True,True,True,True,True,11747,2837,11748,16213,9362,B.1.36.8,B.1,179,2020-02-20,0.0,79.39999999999998
6,India/GJ-GBRC203b/2020,2020-06-07,B.1.36,19465,3,2,6,True,True,True,True,True,11736,8461,11737,18818,19352,B.1,B.1.36.8,179,2020-02-20,8.0,106.39999999999998
7,India/GJ-GBRC263b/2020,2020-06-12,A,19962,1,2,8,False,True,True,True,False,22444,21725,22445,19528,7048,B.1.36.8,B.1,179,2020-02-20,9.0,109.79999999999995
8,India/GJ-GBRC275b/2020,2020-06-13,B.1.36,20030,1,2,11,True,True,True,True,True,19154,18878,19155,19931,14960,B.1,B.1.36.8,179,2020-02-20,0.0,113.20000000000005
9,Italy/FVG-ICGEB-S211/2020,2020-07-01,B.1.1,21497,1,2,11,False,True,True,True,False,16178,15973,16179,1697,21311,B.1.1,B.1.1.70,1697,2020-03-04,7.0,118.01538461538462
10,Italy/FVG-ICGEB-S214/2020,2020-07-01,B.1.1.70,21499,9,2,9,False,True,True,True,False,12052,10397,12053,1697,21311,B.1.1,B.1.1.70,1697,2020-03-04,7.0,118.01538461538462
11,Israel/CVL-n26495/2020,2020-07-22,B.1.362,23304,1,2,19,True,True,True,True,True,11916,11825,11917,23068,1840,B.1.362,B.1,1484,2020-03-08,0.0,134.65714285714284
12,Israel/CVL-n26800/2020,2020-07-24,B.1,23508,1,2,16,True,True,True,True,True,10288,8906,10289,23431,23036,B.1.1.50,B.1,179,2020-02-20,0.0,154.20000000000005
13,Switzerland/BL-ETHZ-230023/2020,2020-08-03,B.1.1.70,24138,25,2,6,True,True,True,True,True,14500,14485,14501,24078,21744,B.1.1.70,B.1.1.70,21744,2020-06-15,0.0,48.200000000000045
14,England/QEUH-96BCE8/2020,2020-08-14,B.1.1.253,25287,12,2,9,True,True,True,True,True,21137,19894,21138,24948,3918,B.1.1.253,B.1.1,179,2020-02-20,0.0,175.20000000000005
15,England/QEUH-96BDC7/2020,2020-08-14,B.1.1.253,25290,1,2,6,True,True,True,True,True,27384,27218,27385,24948,248,B.1.1.253,B,1,2019-12-26,0.0,231.20000000000005
16,Switzerland/ZH-ETHZ-260008/2020,2020-08-21,B.1.1.189,26720,82,2,10,True,True,True,True,True,25471,12824,25472,24720,7333,B.1.1.189,B.1.1,5867,2020-02-22,0.0,174.29999999999995
17,England/QEUH-9985C9/2020,2020-08-24,B.1.221,26955,85,2,4,True,True,True,True,True,20661,15325,20662,24202,24096,B.1.177,B.1.221,5867,2020-02-22,0.0,168.5
18,England/MILK-9A9B96/2020,2020-08-31,B.1.160,28768,2,2,7,True,True,True,True,True,25563,22993,25564,24990,24669,B.1.160,B.1.1.70,179,2020-02-20,0.0,135.96000000000004
19,England/QEUH-9A4278/2020,2020-09-01,B.1,29489,28,2,8,True,True,True,True,True,20930,19176,20931,25927,25951,B.1,B.1.236,1269,2020-03-03,0.0,170.96666666666658
20,England/QEUH-9E5457/2020,2020-09-22,B.1.1,38229,7,2,11,True,True,True,True,True,10323,5240,10324,11029,37786,B.1.1,B.1.1,179,2020-02-20,0.0,214.20000000000005
21,USA/MI-UM-10036137935/2020,2020-09-25,B.1.361,40544,1,2,6,True,True,True,True,True,18167,16318,18168,36035,37930,B.1,B.1.361,36035,2020-08-07,0.0,46.338350340136
22,England/QEUH-9FA01F/2020,2020-09-27,B.1,41277,1,2,7,False,True,True,True,True,13297,7391,13298,23740,37834,B.1.177,B.1.221,5867,2020-02-22,4.0,213.70000000000005
23,England/BIRM-653F1/2020,2020-09-30,B.1.177,42234,1,2,5,True,True,True,True,True,25049,11523,25050,28032,25401,B.1.177,B.1.177,23479,2020-07-06,0.0,61.481250000000045
24,England/MILK-A06404/2020,2020-10-01,B.1.36,43367,9,2,8,True,True,True,True,True,21724,20453,21725,10446,42095,B.1,B.1.36,464,2020-03-02,2.0,211.39999999999998
25,SouthAfrica/KRISP-K003722/2020,2020-10-06,B.1.237,46586,60,2,6,True,True,True,True,True,9498,7295,9499,23198,42622,B.1.237,B.1.237,42717,2020-06-12,0.0,111.81904761904764
26,England/QEUH-A4CA97/2020,2020-10-07,B.1.1.307,48361,1,2,4,True,True,True,True,True,8683,4292,8684,41376,39964,B.1.1.37,B.1.1.307,179,2020-02-20,0.0,216.64
27,USA/MI-UM-10036422279/2020,2020-10-13,B.1.311,52756,135,2,5,True,True,True,True,True,25658,24998,25659,24765,50312,B.1,B.1.311,1484,2020-03-08,0.0,216.8571428571429
28,Switzerland/ZH-ETHZ-321423/2020,2020-10-14,B.1.398,53801,50,2,11,True,True,True,True,True,12312,12296,12313,51936,40618,B.1.398,B.1.234,1269,2020-03-03,0.0,223.5666666666666
29,England/ALDP-A95E93/2020,2020-10-19,B.1.177,57383,1,2,3,True,True,True,True,True,24334,21615,24335,39413,41230,B.1.177,B.1.177,23479,2020-07-06,0.0,87.68124999999998
30,England/QEUH-A9F619/2020,2020-10-20,B.1,58892,2,2,3,True,True,True,True,True,25505,22993,25506,39701,24990,B.1.221,B.1.160,179,2020-02-20,0.0,222.20000000000005
31,England/CAMC-AAF625/2020,2020-10-23,B.1.177,61437,1,2,3,True,True,True,True,False,11396,6287,11397,23211,25639,B.1.1,B.1.177,5867,2020-02-22,3.0,190.89999999999998
32,Denmark/DCGC-8685/2020,2020-10-26,B.1.1,63659,7,2,15,False,True,True,True,True,15763,11411,15764,40828,6275,B.1.1,B.1.1,6275,2020-03-14,2.0,170.72500000000002
33,England/204490706/2020,2020-10-29,B.1.177.54,65540,17,2,3,True,True,True,True,True,23644,20179,23645,33685,36003,B.1.177.57,B.1.177.54,24983,2020-08-13,0.0,32.89999999999998
34,Scotland/CVR5483/2020,2020-10-31,B.1.177.53,67337,1,2,3,True,True,True,True,True,28371,27945,28372,43253,1071,B.1.177.53,B.1,179,2020-02-20,0.0,230.0
