,position,num_mutations
0,56,2
1,57,27
2,58,8
3,59,25
4,60,10
5,61,226
6,62,7
7,63,22
8,64,147
9,65,26
10,66,329
11,67,4
12,68,14
13,69,15
14,70,12
15,71,22
16,72,121
17,73,5
18,74,2
19,75,9
20,77,34
21,79,7
22,80,5
23,81,19
24,82,22
25,83,26
26,84,74
27,85,6
28,86,8
29,87,17
30,88,27
31,89,5
32,90,17
33,91,68
34,92,96
35,93,15
36,94,91
37,95,29
38,96,73
39,97,23
40,98,76
41,99,27
42,100,157
43,101,123
44,102,28
45,103,67
46,104,6
47,105,134
48,106,556
49,107,12
50,108,12
51,109,6
52,110,59
53,111,8
54,112,7
55,113,7
56,114,12
57,115,4
58,116,10
59,117,46
60,118,19
61,119,89
62,120,29
63,121,65
64,122,17
65,123,23
66,124,40
67,125,26
68,126,23
69,127,105
70,128,5
71,129,31
72,130,15
73,131,1
74,132,10
75,133,10
76,134,6
77,135,8
78,136,16
79,137,40
80,138,1
81,139,11
82,140,210
83,141,18
84,142,12
85,143,32
86,144,21
87,145,16
88,146,8
89,147,193
90,148,10
91,149,34
92,151,47
93,152,44
94,154,5
95,155,14
96,156,35
97,157,49
98,158,19
99,159,21
100,160,146
101,161,14
102,162,94
103,163,16
104,164,2
105,165,35
106,166,3
107,167,65
108,168,19
109,169,34
110,170,22
111,171,41
112,172,22
113,173,63
114,174,436
115,175,25
116,176,84
117,177,26
118,178,37
119,179,23
120,180,67
121,181,23
122,182,8
123,183,63
124,184,10
125,185,80
126,186,438
127,187,27
128,188,43
129,189,67
130,190,63
131,191,33
132,192,29
133,193,74
134,194,8
135,195,13
136,196,12
137,197,27
138,198,87
139,199,113
140,200,18
141,201,37
142,202,38
143,203,792
144,204,268
145,205,28
146,206,54
147,207,76
148,208,88
149,209,45
150,210,415
151,211,27
152,212,35
153,213,123
154,214,46
155,215,26
156,216,66
157,217,50
158,218,83
159,219,289
160,220,32
161,221,76
162,222,585
163,223,73
164,224,80
165,225,52
166,226,3
167,227,83
168,228,53
169,229,8
170,230,42
171,231,23
172,232,52
173,233,61
174,234,19
175,235,24
176,236,33
177,237,52
178,238,15
179,239,33
180,240,36
181,241,842
182,242,158
183,243,33
184,244,47
185,245,98
186,246,94
187,247,91
188,248,21
189,249,12
190,250,14
191,251,17
192,252,77
193,253,11
194,254,40
195,255,40
196,256,73
197,257,53
198,258,28
199,259,34
200,260,37
201,261,7
202,262,5
203,263,17
204,264,32
205,265,24
206,266,0
207,267,0
208,268,0
209,269,35
210,270,14
211,271,18
212,272,30
213,273,6
214,274,111
215,275,36
216,276,6
217,277,44
218,278,50
219,279,26
220,280,107
221,281,22
222,282,25
223,283,17
224,284,43
225,286,18
226,287,25
227,288,17
228,289,52
229,290,5
230,291,22
231,292,128
232,293,20
233,294,11
234,295,28
235,296,8
236,297,4
237,298,13
238,299,19
239,300,124
240,301,15
241,302,42
242,303,9
243,304,69
244,305,30
245,306,9
246,307,67
247,308,5
248,309,34
249,310,15
250,311,91
251,312,12
252,313,345
253,314,31
254,315,30
255,316,9
256,317,4
257,318,5
258,319,31
259,321,6
260,322,18
261,323,17
262,324,16
263,325,28
264,326,10
265,327,12
266,328,7
267,329,3
268,330,13
269,331,35
270,332,45
271,333,8
272,334,14
273,335,478
274,336,30
275,337,505
276,338,16
277,339,6
278,340,56
279,341,21
280,342,8
281,343,101
282,344,216
283,345,17
284,346,399
285,347,162
286,348,15
287,349,13
288,350,57
289,351,26
290,352,31
291,353,56
292,354,62
293,355,116
294,356,13
295,357,10
296,358,38
297,359,13
298,360,16
299,361,47
300,362,77
301,363,17
302,364,75
303,365,27
304,366,24
305,367,114
306,368,85
307,369,10
308,370,195
309,371,25
310,372,15
311,373,103
312,374,52
313,375,15
314,376,215
315,377,52
316,378,11
317,379,87
318,380,15
319,381,7
320,382,63
321,383,40
322,384,60
323,385,31
324,386,27
325,387,17
326,388,54
327,389,37
328,390,31
329,391,21
330,392,64
331,393,39
332,394,35
333,395,1
334,396,25
335,397,12
336,398,190
337,399,19
338,400,58
339,401,84
340,402,10
341,403,23
342,404,7
343,405,13
344,406,16
345,407,35
346,408,29
347,409,32
348,410,164
349,411,40
350,412,49
351,413,5
352,414,41
353,415,12
354,416,9
355,417,26
356,418,16
357,419,47
358,420,9
359,421,58
360,422,13
361,423,2
362,424,5
363,425,31
364,426,2
365,427,36
366,428,33
367,429,23
368,430,26
369,431,21
370,432,3
371,433,26
372,434,27
373,435,25
374,436,7
375,437,8
376,438,21
377,439,21
378,440,53
379,441,8
380,442,68
381,443,125
382,444,20
383,445,86
384,446,55
385,447,14
386,448,55
387,449,68
388,450,59
389,451,36
390,452,5
391,453,27
392,454,17
393,455,14
394,456,7
395,457,7
396,458,11
397,459,8
398,460,17
399,461,5
400,462,19
401,463,66
402,464,23
403,465,22
404,466,90
405,467,6
406,468,9
407,469,17
408,470,7
409,471,3
410,472,42
411,473,13
412,474,26
413,475,68
414,476,32
415,477,9
416,478,111
417,479,8
418,480,8
419,481,26
420,482,54
421,483,45
422,484,34
423,485,18
424,486,87
425,487,164
426,488,61
427,489,53
428,490,49
429,491,14
430,492,42
431,493,42
432,494,9
433,495,39
434,496,9
435,497,12
436,498,34
437,499,13
438,500,30
439,501,34
440,502,9
441,503,66
442,504,64
443,505,41
444,506,126
445,507,23
446,508,49
447,509,37
448,510,37
449,511,25
450,512,123
451,513,37
452,514,15
453,515,25
454,516,8
455,517,34
456,518,51
457,519,34
458,520,71
459,521,125
460,522,10
461,523,31
462,524,19
463,525,5
464,526,191
465,527,166
466,528,8
467,529,162
468,530,22
469,531,2
470,532,54
471,533,32
472,534,67
473,535,21
474,536,28
475,537,11
476,539,199
477,540,16
478,541,121
479,542,31
480,543,8
481,544,35
482,545,73
483,546,19
484,547,55
485,548,32
486,549,22
487,550,35
488,551,0
489,552,13
490,554,5
491,555,4
492,556,188
493,557,61
494,559,21
495,560,145
496,561,63
497,562,11
498,563,38
499,564,26
500,565,19
501,566,24
502,567,33
503,568,21
504,569,42
505,570,23
506,571,40
507,572,8
508,573,21
509,574,12
510,575,36
511,576,7
512,577,33
513,578,23
514,579,26
515,580,26
516,581,58
517,582,17
518,583,390
519,584,119
520,585,11
521,586,48
522,587,36
523,588,14
524,589,76
525,590,32
526,591,23
527,592,65
528,593,473
529,594,20
530,595,31
531,596,67
532,597,27
533,598,105
534,599,110
535,600,39
536,601,161
537,602,21
538,603,15
539,604,21
540,605,45
541,606,135
542,607,11
543,608,28
544,609,17
545,610,22
546,611,51
547,612,14
548,613,48
549,614,70
550,615,38
551,616,19
552,617,31
553,618,10
554,619,53
555,620,60
556,621,57
557,622,69
558,623,8
559,624,15
560,625,214
561,626,73
562,627,5
563,628,15
564,629,55
565,630,4
566,631,6
567,632,40
568,633,9
