recombinant,parent1,parent2,recombinant_date,parent1_date,parent2_date,pango_counts,sc2ts_mrca,sc2ts_num_descendants,sc2ts_closest_recombinant,sc2ts_closest_recombinant_path_len,sc2ts_num_mutations,x_lineage_involved,usher_num_descendants
SRR20953685,SRR20264937,SRR16288152,2021-11-09,2021-11-16,2021-09-13,{'AY.39': 1},848503,1,242168,16,5,False,1
node_399858,ERR5291292,SRR17436204,2021-05-12,2021-01-13,2021-05-10,{'B.1.1.7': 2},289331,2,-1,2147483648,2,False,2
node_188348,ERR11755986,SRR16380668,2021-11-26,2021-11-24,2021-09-19,{'AY.4': 2},936129,2,936130,1,0,False,2
SRR15856342,SRR16225662,ERR13158291,2021-08-30,2021-09-08,2021-05-20,{'AY.43': 1},527126,1,527127,1,0,False,1
node_663742,ERR13010058,ERR13022872,2022-12-06,2022-10-02,2022-11-21,{'BE.1.1': 1},1721982,1,1721983,1,0,False,1
SRR28170169,ERR13321798,ERR11779177,2024-01-02,2023-12-20,2023-07-18,{'JN.18': 1},1879884,1,1879885,1,0,False,1
node_189437,SRR16147011,ERR13153313,2021-10-09,2021-09-20,2021-07-30,{'AY.100': 2},702256,2,242168,9,5,False,2
node_629628,SRR29412693,SRR29354160,2024-05-22,2024-05-31,2024-05-21,{'XDY': 3},1895676,3,1895676,0,2,True,3
node_544033,ERR8276489,node_566319,2022-02-13,2022-01-22,2022-02-08,{'BA.2': 2},1257782,2,1257782,0,1,False,2
ERR7313954,node_142963,ERR6440908,2021-10-27,2021-10-27,2021-07-26,{'AY.4': 1},778900,1,242168,10,8,False,1
SRR21703859,SRR21276167,SRR21276160,2022-08-18,2022-08-03,2022-07-30,{'BA.5': 1},1628095,1,1628096,1,0,False,1
SRR20178407,SRR21180049,SRR15391344,2021-11-18,2021-11-07,2021-07-16,{'AY.113': 1},896848,1,896849,1,0,False,1
ERR7309466,ERR13182720,ERR11755029,2021-10-31,2021-08-22,2021-10-19,{'AY.4': 1},794747,1,794748,1,0,False,1
node_189052,SRR15891977,ERR7239527,2021-09-28,2021-08-23,2021-10-16,{'AY.39': 4},242168,1240987,242168,0,13,False,4
node_188967,SRR21266161,SRR15948441,2021-10-21,2021-12-08,2021-08-20,{'AY.39': 3},753409,5,242168,9,5,False,3
