recombinant,sample_id,num_descendant_samples,num_samples,distinct_sample_pango,interval_left,interval_right,num_mutations,Viridian_amplicon_scheme,Artic_primer_version,date_added,group_id,group_size,recombinant_pango,recombinant_scorpio,recombinant_time,recombinant_date,sample,sample_pango,sample_scorpio,sample_time,sample_date,parent_left,parent_left_pango,parent_left_scorpio,parent_left_time,parent_left_date,parent_right,parent_right_pango,parent_right_scorpio,parent_right_time,parent_right_date,parent_mrca,parent_mrca_pango,parent_mrca_scorpio,parent_mrca_time,parent_mrca_date,diffs,max_run_length,num_mutations_k1000,num_mutations_k4,parent_pangonet_distance,net_min_supporting_loci_lft,net_min_supporting_loci_rgt,net_min_supporting_loci_lft_rgt_ge_4
1530,ERR4437465,1,1,1,8783,13617,2,COVID-ARTIC-V3,3,2020-03-22,052b938d31,2,B.1.157,.,1070.0,2020-03-18,1529,B.1.157,.,1066.0,2020-03-22,1121,B,.,1093.542340353103,2020-02-24,832,B.1.157,.,1070.0000000001,2020-03-18,59,B.1,.,1120.205274730523,2020-01-28,13,0,7,2,2,5,5,True
22500,ERR4638271,1,1,1,26528,26714,2,COVID-ARTIC-V3,3,2020-07-23,96ae2d6491,2,B.1.1.217,.,951.0,2020-07-15,22499,B.1.1.217,.,943.0,2020-07-23,21314,B.1.1.217,.,951.0000000001,2020-07-15,12632,B.1.1.83,.,1019.0,2020-05-08,220185,B.1.617.2,Delta (B.1.617.2-like),789.3219728454021,2020-12-24,18,2,6,2,2,11,2,False
26465,ERR4615866,54,1,1,15325,21855,1,COVID-ARTIC-V3,3,2020-08-24,dccf6a6ff6,2,B.1.221,.,982.913423497616,2020-06-14,26464,B.1.221,.,911.0000000001,2020-08-24,22349,B.1.177,.,1018.8544882531768,2020-05-09,26085,B.1.221,.,1013.9695518486022,2020-05-14,59,B.1,.,1120.205274730523,2020-01-28,17,0,6,1,2,4,10,True
27003,ERR4671078,3,1,1,22993,25563,2,COVID-ARTIC-V3,3,2020-08-26,0c768f9bb4,2,B.1.160,.,961.5343179588912,2020-07-05,27002,B.1.160,.,909.0,2020-08-26,25312,B.1.160,.,1003.0000000001,2020-05-24,25120,B.1.1.70,.,995.2474794352177,2020-06-01,59,B.1,.,1120.205274730523,2020-01-28,27,2,14,2,3,14,10,True
28379,SRR21719160,3,1,1,6542,9515,0,COVID-ARTIC-V3,.,2020-09-02,d856a9a458,2,B.1.426,.,907.0,2020-08-28,28378,B.1.426,.,902.0,2020-09-02,27386,B.1.369,.,907.0000000001,2020-08-28,26820,B.1.426,.,918.0000000001,2020-08-17,59,B.1,.,1120.205274730523,2020-01-28,24,0,4,0,2,5,19,True
34811,ERR4760005,1,1,1,11523,25049,2,COVID-ARTIC-V3,3,2020-09-30,4840836522,2,B.1.177,.,886.080993206064,2020-09-18,34810,B.1.177,.,874.0,2020-09-30,27580,B.1.177.56,.,905.0000000001,2020-08-30,23861,B.1.177.11,.,931.0000000002,2020-08-04,1189192,BA.5,Omicron (BA.5-like),357.00000000040006,2022-03-01,11,0,6,2,2,4,5,True
37970,ERR4758732,1,1,1,4292,8683,1,COVID-ARTIC-V3,3,2020-10-07,e8a2aae094,2,B.1.1.307,.,888.3911030574267,2020-09-16,37969,B.1.1.307,.,867.0,2020-10-07,34160,B.1.1.37,.,896.0,2020-09-08,33052,B.1.1.307,.,895.0000000001,2020-09-09,220186,B.1.617.2,Delta (B.1.617.2-like),900.4908165913621,2020-09-04,21,1,5,1,2,4,15,True
39337,ERR4786984,1,1,1,27871,27944,0,COVID-ARTIC-V3,3,2020-10-12,bc8f11ad13,2,B.1.177.4,.,875.0,2020-09-29,39336,B.1.177.4,.,862.0,2020-10-12,34570,B.1.177.4,.,875.0000000001,2020-09-29,26085,B.1.221,.,1013.9695518486022,2020-05-14,791356,BA.1,Omicron (BA.1-like),467.8688067695598,2021-11-11,28,2,5,0,3,19,5,True
42494,ERR4803482,1,1,1,21615,24334,0,COVID-ARTIC-V3,3,2020-10-19,15556f53f6,2,B.1.177,.,869.0448757483397,2020-10-05,42493,B.1.177,.,855.0,2020-10-19,32825,B.1.177,.,880.0000000001,2020-09-24,34046,B.1.177,.,877.0,2020-09-27,59,B.1,.,1120.205274730523,2020-01-28,12,0,5,0,2,6,6,True
42873,ERR4793705,1,1,1,22993,25505,0,COVID-ARTIC-V3,3,2020-10-20,c98965e219,2,B.1,.,868.5005741890182,2020-10-06,42872,B.1,.,854.0,2020-10-20,35177,B.1.221.1,.,873.0000000001,2020-10-01,25312,B.1.160,.,1003.0000000001,2020-05-24,887654,BA.2,Omicron (BA.2-like),452.0000000002004,2021-11-26,30,0,12,0,3,18,12,True
