P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p).1,min_rec_length,breakpoints,recombinant
parent_1,parent_0,ERR10005664_NC_045512:0,10,12,10,0.002942877822,0,-2.5312,0.00588,0.005877095,3375,0-11672 & 23949-26528,ERR10005664
parent_1,parent_0,ERR10020846_NC_045512:0,5,12,12,0.000969618792,0,-3.0134,0.00194,0.001938297,2466,0-2230 & 21524-27437,ERR10020846
parent_0,parent_1,ERR10023806_NC_045512:0,5,8,8,0.004662005231,0,-2.3314,0.0093,0.009302276,2579,14827-27036 & 29615-29903,ERR10023806
parent_1,parent_0,ERR10024519_NC_045512:0,18,4,4,0.002597403014,0,-2.5855,0.00519,0.00518806,4,14599-21292 & 21296-23534,ERR10024519
parent_1,parent_0,ERR10031820_NC_045512:0,7,9,9,0.000699300843,0,-3.1553,0.0014,0.001398113,4449,0-1818 & 22378-25454,ERR10031820
parent_0,parent_1,ERR10032339_NC_045512:0,3,23,23,0.001538461773,0,-2.8129,0.00307,0.003074557,912,912-3094 & 28313-29903,ERR10032339
parent_0,parent_1,ERR10039038_NC_045512:0,9,39,37,5.180351e-06,0,-5.2856,1e-05,1.036068e-05,4832,4832-7763 & 27384-28086,ERR10039038
parent_1,parent_0,ERR10080249_NC_045512:0,25,3,3,0.007936509326,0,-2.1004,0.01581,0.01581003,3,12160-13974 & 13977-15008,ERR10080249
parent_0,parent_1,ERR10086601_NC_045512:0,5,12,12,0.000969618792,0,-3.0134,0.00194,0.001938297,1994,21570-26856 & 28850-29903,ERR10086601
parent_0,parent_1,ERR10088934_NC_045512:0,9,9,9,0.000205676712,0,-3.6868,0.00041,0.0004113111,6294,18160-23321 & 29615-29903,ERR10088934
parent_1,parent_0,ERR10096034_NC_045512:0,3,16,16,0.004127967637,0,-2.3843,0.00824,0.008238895,1653,0-919 & 25438-28250,ERR10096034
parent_1,parent_0,ERR10109642_NC_045512:0,12,13,13,2.499856e-06,0,-5.6021,0.0,4.999706e-06,3590,215-2175 & 23956-26528,ERR10109642
parent_1,parent_0,ERR10111954_NC_045512:0,3,10,10,0.013986015692,0,-1.8543,0.02778,0.02777642,1027,0-6580 & 23150-28876,ERR10111954
parent_0,parent_1,ERR10119199_NC_045512:0,5,9,9,0.002997003496,0,-2.5233,0.00599,0.005985025,8881,9967-19522 & 28403-29903,ERR10119199
parent_1,parent_0,ERR10120476_NC_045512:0,3,22,22,0.001739130588,0,-2.7597,0.00348,0.003475237,1324,0-1929 & 27384-28579,ERR10120476
parent_1,parent_0,ERR10175168_NC_045512:0,7,14,14,6.8799462e-05,0,-4.1624,0.00014,0.0001375942,4898,19011-22992 & 27890-29613,ERR10175168
parent_1,parent_0,ERR10187517_NC_045512:0,3,19,19,0.002597402781,0,-2.5855,0.00519,0.005188059,1023,0-6977 & 28088-28880,ERR10187517
parent_1,parent_0,ERR10306440_NC_045512:0,11,21,17,0.001960558584,0,-2.7076,0.00392,0.003917273,3375,0-683 & 25316-26528,ERR10306440
parent_1,parent_0,ERR10306608_NC_045512:0,27,6,6,2.5280611e-05,0,-4.5972,5e-05,5.056058e-05,8,685-685 & 693-1423,ERR10306608
parent_1,parent_0,ERR10381553_NC_045512:0,4,9,9,0.006993007846,0,-2.1553,0.01394,0.01393711,2866,0-1625 & 18050-27037,ERR10381553
