,site,old,new,intersection
0,6513,60,567,60
1,6514,16,531,14
2,6515,28,580,28
3,11283,18,137,18
4,11284,11,131,11
5,11285,16,135,16
6,11286,4,76,4
7,11287,47,118,47
8,11288,5,79,5
9,11289,66,156,66
10,11290,24,116,24
11,11291,38,93,38
12,11292,32,162,32
13,11293,11,143,11
14,11294,10,141,10
15,11295,8,79,8
16,11296,39,75,38
17,21633,100,203,100
18,21634,17,36,17
19,21635,286,314,286
20,21636,165,180,165
21,21637,263,278,263
22,21638,393,408,393
23,21639,297,312,296
24,21640,43,62,43
25,21641,321,335,321
26,21717,65,828,65
27,21718,202,940,201
28,21719,54,751,54
29,21720,3,478,3
30,21721,643,1117,633
31,21722,29,507,29
32,21765,218,4039,217
33,21766,102,3956,99
34,21767,311,1283,309
35,21768,23,1073,23
36,21769,51,1174,51
37,21770,263,1312,256
38,21988,22,590,22
39,21989,124,683,120
40,21990,20,757,18
41,21991,7,4984,6
42,21992,28,4989,26
43,21993,66,4866,62
44,21994,184,674,177
45,21995,357,1124,342
46,22013,23,4852,23
47,22014,320,5169,319
48,22015,19,4868,19
49,22016,166,5010,166
50,22017,245,5119,245
51,22018,15,4883,15
52,22029,58,677,57
53,22030,189,680,185
54,22031,126,610,124
55,22032,177,744,175
56,22033,508,1010,504
57,22034,249,782,243
58,22194,186,769,174
59,22195,91,562,91
60,22196,42,505,41
61,23008,28,39,28
62,23009,317,328,317
63,23010,43,54,43
64,27556,399,5210,396
65,27557,81,5027,80
66,27558,28,5002,25
67,27559,120,5116,118
68,27560,51,5069,51
69,27561,434,5452,432
70,27562,29,5142,29
71,27563,58,5266,57
72,27564,27,5670,26
73,27565,22,5697,22
74,27566,47,5842,47
75,27567,48,5870,47
76,27568,33,6821,32
77,27569,21,7224,21
78,27570,19,7517,18
79,27571,19,7886,19
80,27572,126,8187,126
81,27573,47,8191,46
82,27574,18,8138,18
83,27575,437,8615,435
84,27576,79,8435,78
85,27578,106,9580,105
86,27579,115,11527,114
87,27580,166,11595,165
88,27581,31,10978,31
89,27582,38,8932,38
90,27583,233,8924,231
91,27584,66,8736,66
92,27585,51,8531,51
93,27586,23,8156,23
94,27587,19,7822,19
95,27588,41,7786,41
96,27589,92,7787,92
97,27590,82,7688,82
98,27591,36,7633,36
99,27592,45,7644,45
100,27593,83,7664,82
101,27594,34,7471,34
102,27595,71,7487,71
103,27596,135,7550,135
104,27597,66,7463,66
105,27598,135,7519,135
106,27599,55,7226,55
107,27600,603,7775,602
108,27601,181,7348,180
109,27602,108,7276,108
110,27603,322,7515,321
111,27604,295,7484,292
112,27605,31,7326,31
113,27606,57,7233,56
114,27607,45,6897,45
115,27608,48,6902,48
116,27609,37,6890,37
117,27610,608,7451,606
118,27611,17,6834,17
119,27612,115,6915,115
120,27613,115,6909,114
121,27614,31,6830,30
122,27615,113,6895,111
123,27616,61,6865,58
124,27617,129,6598,127
125,27618,136,6497,135
126,27619,255,6641,252
127,28150,14,723,14
128,28151,27,743,27
129,28152,7,748,7
130,28248,74,302,74
131,28249,79,245,75
132,28250,104,465,104
133,28251,1240,1549,1223
134,28252,17,478,17
135,28271,36,68,36
136,28361,66,413,66
137,28362,103,122,102
138,28363,33,54,33
139,28364,14,29,14
140,28365,19,51,19
141,28366,32,47,32
142,28367,90,106,90
143,28368,113,135,113
144,28369,46,82,44
145,28370,114,395,111
