,start,node,length,max_inheritors,min_inheritors
0,203,13,1,1,1
1,222,13,1,1,1
2,203,5464,1,1,1
3,222,5464,1,1,1
4,203,6906,1,1,1
5,222,6906,1,1,1
6,203,8357,1,1,1
7,203,8363,1,2,2
8,222,8363,1,2,2
9,203,8594,1,2,2
10,222,8594,1,2,2
11,203,8873,1,1,1
12,222,8873,1,1,1
13,203,8965,1,1,1
14,222,8965,1,1,1
15,203,9449,1,1,1
16,222,9449,1,1,1
17,203,10755,1,1,1
18,222,10755,1,1,1
19,203,10826,1,2,2
20,222,10826,1,2,2
21,203,11679,1,1,1
22,222,11679,1,1,1
23,335,11679,1,1,1
24,203,12580,1,1,1
25,222,12580,1,1,1
26,203,12663,1,1,1
27,222,12663,1,1,1
28,335,12663,1,1,1
29,337,12663,1,1,1
30,203,13251,1,1,1
31,222,13251,1,1,1
32,203,13252,1,3,3
33,203,13377,1,1,1
34,222,13377,1,1,1
35,335,13377,1,1,1
36,337,13377,1,1,1
37,203,13422,1,1,1
38,203,14170,1,2,2
39,203,14534,1,2,2
40,203,14557,1,1,1
41,222,14557,1,1,1
42,203,14562,1,1,1
43,222,14562,1,1,1
44,335,14562,1,1,1
45,337,14562,1,1,1
46,203,14565,1,1,1
47,222,14565,1,1,1
48,203,14566,1,1,1
49,222,14566,1,1,1
50,203,14709,1,1,1
51,222,14709,1,1,1
52,203,14845,1,1,1
53,222,14845,1,1,1
54,335,14845,1,1,1
55,337,14845,1,1,1
56,203,15037,1,1,1
57,222,15037,1,1,1
58,203,15666,1,9,9
59,222,15666,1,9,9
60,335,15666,1,9,9
61,337,15666,1,9,9
62,203,15736,1,1,1
63,222,15736,1,1,1
64,203,17000,1,1,1
65,222,17000,1,1,1
66,335,17000,1,1,1
67,337,17000,1,1,1
68,203,19369,1,1,1
69,222,19369,1,1,1
70,335,19369,1,1,1
71,203,20249,1,1,1
72,222,20249,1,1,1
73,203,20555,1,1,1
74,222,20555,1,1,1
75,203,21029,1,1,1
76,222,21029,1,1,1
77,203,21152,1,1,1
78,222,21152,1,1,1
79,203,21266,1,1,1
80,222,21266,1,1,1
81,335,21266,1,1,1
82,337,21266,1,1,1
83,203,21650,1,3,3
84,222,21650,1,3,3
