P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p).1,min_rec_length,breakpoints,recombinant
SRR20264937_NC_045512:0,SRR16288152_NC_045512:0,SRR20953685_NC_045512:0,21,5,5,0.000334448181,0,-3.4757,0.00067,0.0006687845,5.0,18395-22029 & 22034-23008,SRR20953685
ERR7118399_NC_045512:0,ERR11742306_NC_045512:0,ERR7633821_NC_045512:0,18,3,3,0.014285715297,0,-1.8451,0.02837,0.02836735,3.0,18402-21302 & 21305-22479,ERR7633821
SRR19609066_NC_045512:0,ERR10771775_NC_045512:0,SRR19956517_NC_045512:0,32,3,3,0.005042016972,0,-2.2974,0.01006,0.01005861,3.0,7528-8386 & 8389-9865,SRR19956517
ERR9626969_NC_045512:0,ERR10047375_NC_045512:0,SRR21609043_NC_045512:0,5,17,17,0.000227842378,0,-3.6424,0.00046,0.0004556328,1911.0,493-7418 & 27890-28485,SRR21609043
SRR12754775_NC_045512:0,SRR12528110_NC_045512:0,SRR12528735_NC_045512:0,4,7,7,0.015151516534,0,-1.8195,0.03007,0.03007346,2522.0,0-5299 & 20490-27381,SRR12528735
SRR23600334_NC_045512:0,ERR7683063_NC_045512:0,SRR16374405_NC_045512:0,34,4,4,0.000474158442,0,-3.3241,0.00095,0.0009480921,6.0,27345-27401 & 27407-27873,SRR16374405
ERR8689945_NC_045512:0,ERR13091191_NC_045512:0,ERR9622628_NC_045512:0,19,32,30,4.56e-10,0,-9.3413,0.0,9.11401e-10,11674.0,10447-11535 & 27383-28676,ERR9622628
SRR15548157_NC_045512:0,ERR12795818_NC_045512:0,SRR15857801_NC_045512:0,16,3,3,0.017543861642,0,-1.7559,0.03478,0.03477994,3.0,23589-27037 & 27040-27392,SRR15857801
ERR13158291_NC_045512:0,SRR16225662_NC_045512:0,SRR15856342_NC_045512:0,11,51,50,1.322e-09,0,-8.8787,0.0,2.644258e-09,7124.0,7124-10027 & 29403-29903,SRR15856342
ERR13153313_NC_045512:0,SRR16147011_NC_045512:0,node_189437_NC_045512:0,12,10,9,0.00039124969,0,-3.4075,0.00078,0.0007823463,4716.0,17142-17318 & 22034-22623,node_189437
SRR29354160_NC_045512:0,SRR29412693_NC_045512:0,node_629628_NC_045512:0,11,5,5,0.002747253049,0,-2.5611,0.00549,0.005486959,1010.0,17334-21620 & 22630-22857,node_629628
SRR15390962_NC_045512:0,node_185886_NC_045512:0,node_189461_NC_045512:0,14,14,9,0.019905105233,0,-1.701,0.03941,0.039414,3988.0,6756-9151 & 22034-27146,node_189461
SRR21276160_NC_045512:0,SRR21276167_NC_045512:0,SRR21703859_NC_045512:0,8,9,8,0.005306459032,0,-2.2752,0.01058,0.01058476,6585.0,14184-21787 & 28372-29903,SRR21703859
SRR21180049_NC_045512:0,SRR15391344_NC_045512:0,SRR20178407_NC_045512:0,9,7,7,0.000874125923,0,-3.0584,0.00175,0.001747488,9.0,7858-22025 & 22034-22092,SRR20178407
ERR7177075_NC_045512:0,ERR11764426_NC_045512:0,ERR7491381_NC_045512:0,30,3,3,0.005681818351,0,-2.2455,0.01133,0.01133135,3.0,26455-26490 & 26493-27744,ERR7491381
ERR11755029_NC_045512:0,ERR6162082_NC_045512:0,ERR7309466_NC_045512:0,5,8,8,0.004662005231,0,-2.3314,0.0093,0.009302276,10.0,7693-22025 & 22035-29903,ERR7309466
ERR12822069_NC_045512:0,ERR6105556_NC_045512:0,node_134829_NC_045512:0,7,4,4,0.024242425337,0,-1.6154,0.0479,0.04789716,366.0,7851-17038 & 17404-19523,node_134829
ERR10511768_NC_045512:0,SRR18780758_NC_045512:0,SRR19724455_NC_045512:0,3,30,30,0.000733137887,0,-3.1348,0.00147,0.001465738,2023.0,0-3794 & 25635-27880,SRR19724455
SRR15948441_NC_045512:0,SRR21266161_NC_045512:0,node_188967_NC_045512:0,6,7,7,0.004079254344,0,-2.3894,0.00814,0.008141868,9.0,5866-22025 & 22034-26935,node_188967
