,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,breakpoint,breakpoint_interval_left,breakpoint_interval_right,left_parent,right_parent,left_parent_imputed_lineage,right_parent_imputed_lineage,mrca,mrca_date,fwd_bck_parents_max_dist,parents_dist_days
0,USA/WA-UW-2142/2020,2020-03-25,B.1.320,6799,1,2,4,True,True,True,True,True,379,92,380,1748,3829,B.1.371,B.1.320,1484,2020-03-08,0.0,12.457142857142856
1,Luxembourg/LNS0522318/2020,2020-04-04,B.1,10617,1,2,6,True,True,True,True,True,4320,2832,4321,9153,7627,B.1,B.1,179,2020-02-20,0.0,40.80000000000001
2,Luxembourg/LNS2129030/2020,2020-04-23,B.1,14596,1,2,6,True,True,True,True,True,2831,2828,2832,9153,3057,B.1,B.1,179,2020-02-20,0.0,44.60000000000002
3,India/TG-CCMB-L1090/2020,2020-05-13,B.1.1.306,17375,4,2,6,True,True,True,True,True,27382,25424,27383,17236,10105,B.1.1.306,B.1.1,179,2020-02-20,0.0,82.19999999999999
4,India/TG-CCMB-L1470/2020,2020-05-25,B.1,18231,2,2,3,True,True,True,True,True,27379,26736,27380,1089,17374,B.1,B.1.1.306,179,2020-02-20,0.0,85.39999999999998
5,India/GJ-GBRC160b/2020,2020-05-27,B.1,18444,2,2,4,True,True,True,True,True,11747,2837,11748,16213,9362,B.1.36.8,B.1,179,2020-02-20,0.0,79.39999999999998
6,India/GJ-GBRC203b/2020,2020-06-07,B.1.36,19465,3,2,6,True,True,True,True,True,11736,8461,11737,18818,19352,B.1,B.1.36.8,179,2020-02-20,8.0,106.39999999999998
7,India/GJ-GBRC263b/2020,2020-06-12,A,19962,1,2,8,False,True,True,True,False,22444,21725,22445,19528,7048,B.1.36.8,B.1,179,2020-02-20,9.0,109.80000000000001
8,India/GJ-GBRC275b/2020,2020-06-13,B.1.36,20030,1,2,11,True,True,True,True,True,19154,18878,19155,19931,14960,B.1,B.1.36.8,179,2020-02-20,0.0,113.19999999999999
9,Italy/FVG-ICGEB-S211/2020,2020-07-01,B.1.1,21497,1,2,11,False,True,True,True,False,16178,15973,16179,1697,21311,B.1.1,B.1.1.70,1697,2020-03-04,7.0,118.01538461538462
