,site,old,new,intersection
0,267,0,3571,0
1,269,72,3628,72
2,270,56,3609,54
3,271,58,3611,58
4,272,73,3623,73
5,273,25,3572,25
6,274,422,3956,417
7,275,105,3624,104
8,276,19,3529,19
9,277,97,3585,95
10,278,121,3604,120
11,279,50,3505,50
12,280,224,3663,224
13,281,69,3436,68
14,282,59,3420,59
15,283,29,3390,29
16,284,103,3463,100
17,285,105,3460,105
18,286,36,3390,36
19,287,47,3398,47
20,288,49,3351,49
21,289,143,3444,143
22,290,13,3309,13
23,291,53,3334,50
24,292,336,3612,333
25,293,45,3322,45
26,294,36,3311,36
27,295,73,3348,73
28,296,16,3289,13
29,297,9,3279,9
30,298,14,3279,14
31,299,32,3296,32
32,300,300,3534,300
33,301,38,3268,38
34,302,113,3337,112
35,303,30,3251,30
36,304,153,3367,153
37,305,59,3226,59
38,306,29,3189,29
39,307,160,3317,158
40,308,11,3161,11
41,309,50,3195,49
42,310,30,3142,30
43,311,280,3385,278
44,312,53,3159,53
45,313,723,3824,720
46,314,44,3143,44
47,315,70,3536,70
48,316,14,3483,14
49,317,12,3478,12
50,318,7,3106,7
51,319,65,3156,65
52,320,45,3131,45
53,321,37,1478,37
54,322,28,1461,28
55,323,46,1467,46
56,324,59,1471,59
57,325,75,988,75
58,326,17,924,17
59,327,14,890,14
60,328,15,873,15
61,329,12,842,12
62,330,32,857,32
63,331,78,589,78
64,332,111,580,111
65,333,16,428,16
66,334,42,450,42
67,336,79,466,79
68,338,32,395,32
69,339,19,367,19
70,340,158,504,157
71,341,74,384,74
72,342,17,321,17
73,343,234,524,233
74,344,414,697,414
75,345,44,125,44
76,346,755,813,755
77,347,348,392,348
78,348,47,91,47
79,349,28,69,28
80,350,187,225,187
81,351,97,134,97
82,352,74,106,73
83,353,101,134,101
84,354,178,207,178
85,355,241,270,239
86,356,47,77,47
87,357,27,56,27
88,358,86,115,86
89,359,55,88,55
90,360,58,91,58
91,361,101,136,101
92,362,164,199,164
93,363,36,71,36
94,364,192,226,192
95,365,57,91,57
96,366,81,114,81
97,367,232,263,232
98,368,225,257,225
99,369,41,71,41
100,370,391,422,391
101,371,65,95,65
102,372,38,68,38
103,373,270,298,270
104,374,94,122,94
105,375,41,68,41
106,376,434,459,434
107,377,176,200,175
108,378,24,49,24
109,379,176,198,176
110,380,31,55,31
111,381,13,34,13
112,382,133,154,133
113,383,128,139,127
114,384,125,138,125
115,385,68,77,68
116,386,39,48,39
117,387,47,56,47
118,388,127,136,127
119,389,107,114,107
120,390,82,87,82
121,391,48,53,48
122,392,138,142,137
123,393,108,112,107
124,394,71,75,71
125,395,9,12,9
126,396,59,62,59
127,397,36,38,36
128,398,469,471,468
129,399,37,39,37
130,400,119,121,119
131,401,286,287,286
132,402,28,30,28
133,403,51,53,51
134,404,5,8,5
135,405,32,33,32
136,406,30,31,30
137,407,64,66,64
138,408,54,56,54
139,409,87,89,87
140,410,358,360,357
141,411,112,114,112
142,412,100,102,99
143,413,15,17,15
144,414,88,90,88
145,415,28,32,28
146,416,20,24,20
147,417,29,33,29
148,418,53,63,53
149,419,94,104,94
150,420,37,47,37
151,421,116,126,116
152,422,35,52,34
153,423,7,732,7
154,424,22,747,21
155,425,64,1114,64
156,426,9,370,9
157,427,66,421,59
158,428,55,516,55
159,429,48,507,47
160,430,37,495,37
161,431,79,546,79
162,432,7,489,7
163,433,50,532,50
164,434,41,486,41
165,435,51,536,50
166,436,19,502,19
167,437,17,506,17
168,438,35,606,35
169,439,42,616,42
170,440,141,723,141
171,441,38,620,38
172,442,148,731,148
173,443,275,855,275
174,444,60,814,60
175,445,106,681,104
176,446,45,593,45
177,447,29,445,29
178,448,204,616,204
179,449,161,574,160
180,450,140,552,138
181,451,71,483,71
182,452,10,420,10
183,453,72,483,72
184,454,35,444,35
185,455,54,463,54
186,456,16,412,16
187,457,26,421,26
188,458,36,69,36
189,459,17,42,17
190,460,26,51,26
191,461,11,36,11
192,462,31,57,31
193,463,137,163,137
194,464,62,88,62
195,465,86,112,86
196,466,181,207,181
197,467,16,42,16
198,468,24,49,24
199,469,36,56,36
200,470,24,43,23
201,471,14,34,14
202,472,83,103,83
203,473,39,59,39
204,474,71,92,71
205,475,142,163,142
206,476,77,98,77
207,477,68,88,68
208,478,236,256,236
209,479,25,46,25
210,480,29,52,29
211,481,51,75,51
212,482,155,179,155
213,483,117,138,117
214,484,53,74,53
215,485,72,94,72
216,486,313,334,312
217,487,327,348,327
218,488,144,166,144
219,489,113,141,113
220,490,102,132,102
221,491,58,89,58
222,492,113,146,113
223,493,98,131,98
224,494,23,56,23
225,495,86,119,86
226,496,35,68,35
227,497,21,54,21
228,498,102,136,102
229,499,45,78,45
230,500,48,117,48
231,501,73,143,73
232,502,14,92,14
233,503,133,225,133
234,504,122,216,122
235,505,74,972,74
236,506,426,1342,422
237,507,214,1398,213
238,508,268,15617,260
239,509,241,16111,234
240,510,134,25698,131
241,511,71,25499,71
242,512,261,25731,257
243,513,80,26264,79
244,514,50,28295,50
245,515,69,38215,69
246,516,19,41196,19
247,517,54,40454,54
248,518,68,46047,65
249,519,51,35625,51
250,520,227,35555,222
251,521,202,20353,202
252,522,17,20055,16
253,523,254,4404,252
254,524,50,2598,49
255,525,26,291,26
256,526,388,643,381
257,527,315,471,315
258,528,20,175,20
259,529,316,470,316
260,530,68,212,68
261,531,4,147,4
262,532,119,258,119
263,533,73,144,73
264,534,154,211,154
265,535,40,97,40
266,536,83,137,83
267,537,26,78,26
268,538,37,88,36
269,539,435,486,434
270,540,72,113,72
271,541,215,256,214
272,542,91,126,91
273,543,29,64,29
274,544,58,93,58
275,545,165,198,165
276,546,68,101,68
277,547,109,141,109
278,548,73,105,73
279,549,63,95,63
280,550,64,96,64
281,551,1,33,1
282,552,40,72,40
283,553,116,146,114
284,554,18,50,18
285,555,11,35,11
286,556,421,445,421
287,557,221,245,221
288,558,129,153,129
289,559,46,71,46
290,560,616,641,616
291,561,232,257,232
292,562,21,46,21
293,563,99,124,99
294,564,94,119,94
295,565,56,81,56
296,566,64,89,64
297,567,120,145,120
298,568,39,64,39
299,569,34,58,33
300,570,45,70,45
301,571,94,119,94
302,572,21,46,21
303,573,80,106,80
304,574,20,46,20
305,575,77,103,77
306,576,36,62,36
307,577,54,80,54
308,578,73,99,73
309,579,89,115,89
310,580,55,81,55
311,581,113,139,113
312,582,43,71,43
313,583,718,746,718
314,584,437,465,437
315,585,34,61,34
316,586,96,131,96
317,587,104,141,104
318,588,34,74,34
319,589,156,196,156
320,590,93,121,93
321,591,55,83,55
322,592,124,148,123
323,593,913,937,913
324,594,59,82,59
325,595,55,69,54
326,596,115,129,115
