,start,node,length,max_inheritors,min_inheritors
0,686,1056,9,2,2
1,686,1901,9,2,2
2,686,2209,9,1,1
3,686,2894,9,1,1
4,686,2999,9,1,1
5,686,4404,9,6,6
6,686,5546,9,1,1
7,686,5843,9,1,1
8,686,6831,9,1,1
9,686,7065,9,4,4
10,686,7597,9,1,1
11,686,8284,9,1,1
12,686,8766,9,4,4
13,686,8920,9,1,1
14,686,9207,9,2,2
15,686,9644,9,1,1
16,686,9699,9,1,1
17,686,9974,9,1,1
18,686,11541,9,1,1
19,686,11640,9,1,1
20,686,11963,9,9,9
21,686,12037,9,1,1
22,686,12258,9,2,2
23,686,12576,9,1,1
24,686,12739,9,1,1
25,686,12827,9,1,1
26,686,13149,9,1,1
27,686,13655,9,3,3
28,686,13703,9,1,1
29,686,14020,9,1,1
30,686,14091,9,1,1
31,686,15420,8,1,1
32,686,15630,9,1,1
33,686,15846,9,1,1
34,686,16135,9,1,1
35,686,16654,9,1,1
36,686,17075,9,4,4
37,686,18269,9,2,2
38,686,18322,9,1,1
39,686,18467,9,2,2
40,686,18752,9,1,1
41,686,19168,9,1,1
42,686,20658,9,2,2
43,686,22734,9,1,1
44,686,23612,9,1,1
45,686,24067,9,4,4
46,686,24448,9,1,1
47,686,24489,9,1,1
48,686,25000,9,2,2
49,686,25155,9,1,1
50,686,25171,9,1,1
51,686,26077,9,2,2
52,686,26162,9,1,1
53,686,27049,9,1,1
54,686,28996,9,3,3
55,686,29660,9,4,4
56,686,29707,9,1,1
57,686,30128,9,1,1
58,686,30179,9,1,1
59,686,30419,9,1,1
60,686,32166,9,7,7
61,686,32331,9,4,4
62,686,32412,9,1,1
63,686,32892,9,2,2
64,686,34149,9,2,2
65,686,34486,9,1,1
66,686,35855,9,1,1
67,686,36073,9,1,1
68,686,37248,9,2,2
69,686,39771,9,1,1
70,686,40144,9,2,2
71,686,40264,9,1,1
72,686,41317,5,1,1
73,686,41322,9,2,2
74,686,41703,9,1,1
75,686,42104,7,1,1
76,686,42493,9,1,1
77,686,42964,9,1,1
78,686,43542,9,1,1
79,686,44896,9,1,1
80,686,44905,9,1,1
81,686,45016,9,17,17
82,686,45561,9,2,2
83,686,46292,9,8,8
84,686,47201,9,1,1
85,686,48182,9,2,2
86,686,49014,9,1,1
87,686,49103,9,1,1
88,686,51181,9,2,2
89,686,51227,9,1,1
90,686,51404,9,3,3
91,686,52183,9,1,1
92,686,52246,9,1,1
93,686,52376,9,1,1
94,686,52613,9,5,5
95,686,52848,9,1,1
96,686,55538,9,1,1
97,686,56498,9,1,1
98,686,56616,9,1,1
99,686,57031,9,1,1
100,686,57230,9,2,2
101,686,57509,9,1,1
102,686,57990,9,1,1
103,686,59336,9,2,2
104,686,59416,9,1,1
105,686,60171,9,1,1
106,686,60201,9,1,1
107,686,60550,9,1,1
108,686,61048,4,2,2
109,21991,61048,3,2,2
110,686,63506,9,1,1
111,686,65325,9,1,1
112,686,66668,9,1,1
113,686,67217,9,1,1
114,686,68993,9,1,1
115,686,69749,9,3,3
116,686,70193,9,1,1
117,686,70214,9,1,1
118,686,71385,9,1,1
119,686,72308,9,1,1
120,686,72339,9,1,1
121,686,72341,9,1,1
122,686,75612,9,1,1
123,686,75660,9,3,3
124,686,76315,9,1,1
125,686,76755,9,1,1
126,686,77376,9,2,2
127,686,80121,9,1,1
128,686,82213,9,3,3
129,686,82224,9,1,1
130,686,83343,9,1,1
131,686,85123,9,1,1
132,686,85883,9,1,1
133,686,86173,9,1,1
134,686,86665,9,2,2
135,686,87469,9,2,2
136,686,89585,9,1,1
137,686,90148,9,1,1
138,686,90874,9,1,1
139,686,92807,9,5,5
140,686,93924,9,4,4
141,686,94704,9,1,1
142,686,94755,9,1,1
143,686,98465,9,2,2
144,686,98535,9,3,3
145,686,98722,9,1,1
146,686,99997,9,2,2
147,686,100742,9,2,2
148,686,101715,9,1,1
149,686,103698,9,2,2
150,686,107955,9,1,1
151,686,108130,9,3,3
152,686,109024,9,1,1
153,686,109125,9,1,1
154,686,110218,9,3,3
155,686,112606,9,1,1
156,686,113320,9,17,17
157,686,115597,9,1,1
158,686,115683,9,1,1
159,686,116768,9,1,1
160,686,117963,9,1,1
161,686,119646,9,2,2
162,686,122058,9,1,1
163,686,123190,9,1,1
164,686,123573,9,1,1
165,686,124017,9,2,2
166,686,124337,9,1,1
167,686,126152,9,1,1
168,686,126338,9,1,1
169,686,127164,9,2,2
170,686,128269,9,1,1
171,686,129991,9,1,1
172,686,132024,9,2,2
173,686,132603,9,1,1
174,686,132939,9,1,1
175,686,134931,9,1,1
176,686,137527,9,3,3
177,686,138133,9,1,1
178,686,139232,9,2,2
179,686,140347,9,1,1
180,686,140964,9,1,1
181,686,141460,9,1,1
182,686,142449,9,1,1
183,686,142473,9,1,1
184,686,144272,9,1,1
185,686,144736,9,2,2
186,686,145370,9,3,3
187,686,146650,9,1,1
188,686,147823,9,1,1
189,686,147892,9,1,1
190,686,147962,9,1,1
191,686,148785,9,1,1
192,686,148822,9,1,1
193,686,149532,9,2,2
194,686,149903,9,1,1
195,686,151143,9,1,1
196,686,151669,9,4,4
197,686,152374,9,1,1
198,686,153993,9,1,1
199,686,154115,9,1,1
200,686,155971,9,4,4
201,686,157018,9,1,1
202,686,158168,9,1,1
203,686,160449,9,1,1
204,686,162346,9,1,1
205,686,162877,9,1,1
206,686,163818,9,4,4
207,686,164459,9,1,1
208,686,164686,9,1,1
209,686,165834,9,4,4
210,686,167637,9,1,1
211,686,169121,9,1,1
212,686,170947,9,1,1
213,686,173289,9,4,4
214,686,173760,9,1,1
215,686,177364,9,1,1
216,686,177937,9,1,1
217,686,178402,9,5,5
218,686,178428,9,1,1
219,686,178514,9,1,1
220,686,180119,9,1,1
221,686,180605,9,1,1
222,686,180616,9,5,5
223,686,181646,9,1,1
224,686,183402,9,1,1
225,686,183574,9,1,1
226,686,184976,9,1,1
227,686,186456,9,1,1
228,686,186760,9,10,10
229,686,187025,9,1,1
230,686,187807,9,1,1
231,686,188980,9,34,34
232,686,189166,9,1,1
233,686,189780,9,1,1
234,686,189984,9,1,1
235,686,190355,9,2,2
236,686,190580,9,6,6
237,686,192032,9,1,1
238,686,192478,9,1,1
239,686,192920,9,1,1
240,686,192955,8,1,1
241,686,193200,9,1,1
242,686,193525,9,1,1
243,686,194920,9,1,1
244,686,195461,9,11,11
245,686,195535,9,6,6
246,686,196613,9,1,1
247,686,198857,9,1,1
248,686,199350,6,1,1
249,686,200668,9,1,1
250,686,202085,9,3,3
251,686,202531,9,2,2
252,686,203309,9,1,1
253,686,204008,9,1,1
254,686,206159,9,1,1
255,686,206266,9,2,2
256,686,206456,9,3,3
257,686,207067,9,2,2
258,686,207293,9,3,3
259,686,207900,9,1,1
260,686,208743,9,3,3
261,686,210220,9,1,1
262,686,212170,9,3,3
263,686,212706,9,1,1
264,686,214426,9,3,3
265,686,214810,5,1,1
266,686,214859,9,1,1
267,686,216985,9,3,3
268,686,219713,9,1,1
269,686,220036,9,1,1
270,686,221320,9,1,1
271,686,222490,9,1,1
272,686,224998,9,1,1
273,686,225435,9,1,1
274,686,225594,9,1,1
275,686,226034,9,1,1
276,686,226659,9,4,4
277,686,226698,9,1,1
278,686,228267,9,1,1
279,686,228622,9,1,1
280,686,228999,9,2,2
281,686,229196,9,1,1
282,686,229216,9,1,1
283,686,229412,9,1,1
284,686,229651,9,1,1
285,686,231800,9,1,1
286,686,235444,9,1,1
287,686,235837,9,1,1
288,686,237080,9,1,1
289,686,238540,9,1,1
290,686,238814,9,2,2
291,686,239908,9,1,1
292,686,240751,9,1,1
293,686,241975,9,2,2
294,686,242960,9,1,1
295,686,244224,9,1,1
296,686,244950,9,1,1
297,686,247009,9,1,1
298,686,248103,9,1,1
299,686,250115,9,1,1
300,686,251604,9,1,1
301,686,252679,9,1,1
302,686,252768,9,1,1
303,686,253928,9,1,1
304,686,255300,9,2,2
305,686,255767,9,1,1
306,686,256321,9,1,1
307,686,256539,9,1,1
308,686,256666,9,1,1
309,686,256812,9,1,1
310,686,257184,9,1,1
311,686,258038,9,2,2
312,686,259043,9,1,1
313,21995,259043,1,1,1
314,686,260276,9,1,1
315,686,260664,9,2,2
316,686,261697,9,2,2
317,686,262814,9,1,1
318,686,262887,9,1,1
319,686,263895,9,1,1
320,686,265055,9,1,1
321,686,265419,9,1,1
322,686,268134,9,1,1
323,686,268959,9,1,1
324,686,269305,9,2,2
325,686,269306,9,1,1
326,686,270303,9,34,34
327,686,270728,9,1,1
328,686,270752,9,1,1
329,686,272239,9,1,1
330,686,272818,9,2,2
331,686,273684,9,1,1
332,686,273885,9,2,2
333,686,274222,9,11,11
334,686,275299,9,1,1
335,686,276511,9,1,1
336,686,277337,9,1,1
337,686,277545,9,18,18
338,686,278295,9,1,1
339,686,278489,9,1,1
340,686,280706,9,1,1
341,686,280906,9,7,7
342,686,281264,9,2,2
343,686,281351,9,1,1
344,686,281660,9,1,1
345,686,282924,9,1,1
346,686,283269,9,4,4
347,686,284829,9,1,1
348,686,284840,9,1,1
349,686,286980,9,1,1
350,686,289598,9,1,1
351,686,289934,9,3,3
352,686,290093,9,1,1
353,686,290317,9,1,1
354,686,290904,9,1,1
355,686,291195,9,1,1
356,686,291577,9,1,1
357,686,294462,9,2,2
358,686,294794,9,1,1
359,686,294967,9,1,1
360,686,295829,9,1,1
361,686,298041,9,1,1
362,686,299253,9,6,6
363,686,301028,9,1,1
364,686,302272,9,1,1
365,686,302888,9,3,3
366,686,303354,9,1,1
367,686,303471,9,1,1
368,686,304757,9,6,6
369,686,306734,9,1,1
370,686,307660,9,1,1
371,686,307812,9,1,1
372,686,308040,9,1,1
373,21987,308040,7,1,1
374,686,308837,9,1,1
375,686,308953,9,1,1
376,686,309296,9,1,1
377,686,309337,9,3,3
378,686,310467,9,1,1
379,686,310530,9,8,8
380,686,311101,9,2,2
381,686,312854,9,1,1
382,686,313139,9,1,1
383,686,313967,9,1,1
384,686,315105,9,1,1
385,686,315137,9,1,1
386,686,316592,9,1,1
387,686,318850,9,1,1
388,686,319722,9,1,1
389,686,321076,9,1,1
390,686,321466,9,1,1
391,686,323654,9,81,81
392,686,324244,7,1,1
393,686,324249,9,4,4
394,686,324433,9,4,4
395,686,324745,9,1,1
396,686,325445,9,6,6
397,686,325540,9,1,1
398,686,326100,9,1,1
399,686,327193,9,1,1
400,686,328897,9,12,12
401,686,330063,9,2,2
402,686,332194,9,4,4
