,start,node,length,max_inheritors,min_inheritors
0,6513,567,3,1,1
1,6513,11930,3,1,1
2,6513,14547,3,1,1
3,6513,18019,3,1,1
4,21988,18019,6,1,1
5,6513,24393,3,1,1
6,6513,61527,3,1,1
7,6513,67402,3,1,1
8,6513,69384,3,4,4
9,6513,75847,3,2,2
10,6513,82427,3,1,1
11,6513,92899,3,1,1
12,6513,92900,3,2,2
13,6513,92903,3,2,2
14,6513,96641,3,2,2
15,6513,101244,3,1,1
16,6513,101245,3,1,1
17,6513,104770,3,1,1
18,6513,113059,3,1,1
19,6513,116241,3,1,1
20,6513,121008,3,1,1
21,6513,121594,3,2,2
22,6513,122805,3,1,1
23,6513,127702,3,1,1
24,6513,142221,3,4,4
25,6513,158682,3,1,1
26,6513,224165,3,2,2
27,6513,239556,3,1,1
28,6513,243337,3,1,1
29,6513,249608,3,1,1
30,6513,263682,3,1,1
31,6513,283959,3,1,1
32,6513,288836,3,1,1
33,6513,303497,3,1,1
34,6513,347163,3,1,1
35,6513,351154,3,1,1
36,6513,383606,3,1,1
37,6513,417406,3,1,1
38,6513,437009,3,15,15
39,6513,447681,3,1,1
40,6513,457604,3,1,1
41,6513,475287,3,93,93
42,6513,475370,3,3,3
43,6513,483976,3,2,2
44,6513,487079,3,1,1
45,6513,489110,3,1,1
46,6513,494537,3,2,2
47,6513,498519,3,1,1
48,6513,508427,3,1,1
49,6513,512507,3,1,1
50,6513,522456,3,3,3
51,6513,542027,3,3,3
52,6513,543319,3,1,1
53,6513,554794,3,1,1
54,6513,558714,3,3,3
55,6513,565954,3,1,1
56,6513,573459,3,2,2
57,6513,578802,3,1,1
58,6513,581037,3,1,1
59,6513,586222,3,104,104
60,6513,586856,3,1,1
61,6513,599090,3,3,3
62,6513,615314,3,1,1
63,27606,615314,14,1,1
64,6513,623738,3,1,1
65,6513,640171,3,4,4
66,6513,648417,3,1,1
67,6513,659634,3,1,1
68,6513,663418,3,2,2
69,6513,673983,3,88,88
70,6513,682123,3,1,1
71,6513,695878,3,1,1
72,6513,700783,3,1,1
73,6513,719352,3,1,1
74,6513,725204,3,1,1
75,6513,731158,3,1,1
76,6513,737996,3,9,9
77,6513,747537,3,1,1
78,6513,765364,3,1,1
79,6513,777616,3,3,3
80,6513,785735,3,23,23
81,6513,790302,3,1,1
82,6513,798581,3,1,1
83,6513,805703,3,1,1
84,6513,809066,3,5,5
85,6513,810912,3,3,3
86,6513,827745,3,450,450
87,6513,833259,3,1,1
88,6513,835912,3,3,3
89,6513,846294,3,2,2
90,6513,849381,3,1,1
91,6513,851246,3,339251,339242
92,11283,851246,9,341023,339863
93,21765,851246,6,339680,339462
94,21988,851246,8,339654,339379
95,22194,851246,3,312654,312402
96,28362,851246,9,871774,850212
97,6513,868593,3,9,9
98,6513,869236,3,1,1
99,6513,874445,3,3,3
100,6513,879653,3,2,2
101,6513,883880,3,1,1
102,6513,890675,3,1,1
103,6513,891260,3,1,1
104,6513,893343,3,1,1
105,6513,896002,1,1,1
106,6513,898121,1,1,1
107,6513,898343,3,252,252
108,6513,900488,1,1,1
109,21765,900488,6,1,1
110,6513,902811,3,1,1
111,6513,905250,3,2,2
112,6513,909319,3,1,1
113,6513,910809,3,1,1
114,6513,912683,3,2,2
115,6513,923043,3,1,1
116,6513,928894,3,55,55
117,6513,928895,3,108,108
118,6513,928896,3,72,72
119,6513,934958,3,12,12
120,6513,934959,3,17,17
121,6513,935813,3,26,26
122,6513,937738,3,9,9
123,6513,938343,3,1,1
124,6513,938344,3,6,6
125,6513,938345,3,1,1
126,6513,940505,3,3,3
127,6513,940506,3,9,9
128,6513,940507,3,2,2
129,6513,942887,3,28,28
130,6513,942888,3,1,1
131,6513,942891,3,5,5
132,6513,945315,3,17,17
133,6513,947616,3,31,31
134,6513,947617,3,4,4
135,6513,948966,3,1,1
136,6513,948967,3,70,70
137,6513,948968,3,3,3
138,6513,952583,3,18,18
139,6513,952584,3,1,1
140,6513,957325,3,7,7
141,6513,962525,3,29,29
142,6513,965463,3,4,4
143,6513,973388,3,2,2
144,6513,973389,3,10,10
145,6513,973390,3,12,12
146,6513,978129,3,4,4
147,6513,978130,3,14,14
148,6513,979419,3,1,1
149,6513,982194,3,24,24
150,6513,982658,3,20,20
151,6513,982664,3,8,8
152,6513,983517,3,56,56
