,position,num_mutations
0,56,3
1,57,62
2,58,5
3,59,21
4,60,10
5,61,327
6,62,10
7,63,23
8,64,137
9,65,26
10,66,421
11,67,9
12,68,11
13,69,13
14,70,4
15,71,12
16,72,6
17,73,2
18,74,5
19,75,18
20,77,50
21,79,13
22,80,8
23,81,22
24,82,29
25,83,39
26,84,77
27,85,11
28,86,19
29,87,15
30,88,20
31,89,17
32,90,39
33,91,83
34,92,127
35,93,26
36,94,133
37,95,35
38,96,104
39,97,26
40,98,84
41,99,43
42,100,206
43,101,129
44,102,42
45,103,108
46,104,9
47,105,178
48,106,639
49,107,23
50,108,27
51,109,17
52,110,69
53,111,14
54,112,11
55,113,8
56,114,18
57,115,6
58,116,11
59,117,58
60,118,25
61,119,112
62,120,24
63,121,69
64,122,23
65,123,29
66,124,47
67,125,47
68,126,29
69,127,154
70,128,6
71,129,38
72,130,16
73,131,3
74,132,10
75,133,12
76,134,7
77,135,9
78,136,16
79,137,51
80,138,4
81,139,16
82,140,281
83,141,26
84,142,17
85,143,36
86,144,30
87,145,26
88,146,9
89,147,236
90,148,12
91,149,40
92,151,96
93,152,51
94,154,6
95,155,15
96,156,28
97,157,63
98,158,26
99,159,24
100,160,215
101,161,13
102,162,112
103,163,25
104,164,2
105,165,42
106,166,4
107,167,118
108,168,28
109,169,22
110,170,15
111,171,66
112,172,34
113,173,75
114,174,609
115,175,24
116,176,95
117,177,37
118,178,46
119,179,29
120,180,91
121,181,17
122,182,19
123,183,52
124,184,14
125,185,83
126,186,516
127,187,35
128,188,42
129,189,83
130,190,81
131,191,31
132,192,33
133,193,83
134,194,16
135,195,14
136,196,14
137,197,17
138,198,104
139,199,134
140,200,24
141,201,68
142,202,37
143,203,877
144,204,343
145,205,36
146,206,58
147,207,95
148,208,47
149,209,33
150,210,561
151,211,23
152,212,31
153,213,113
154,214,46
155,215,28
156,216,71
157,217,54
158,218,78
159,219,308
160,220,30
161,221,87
162,222,744
163,223,129
164,224,80
165,225,45
166,226,3
167,227,340
168,228,57
169,229,10
170,230,40
171,231,22
172,232,47
173,233,64
174,234,17
175,235,27
176,236,46
177,237,67
178,238,24
179,239,32
180,240,41
181,241,1069
182,242,149
183,243,36
184,244,45
185,245,91
186,246,119
187,247,116
188,248,18
189,249,15
190,250,15
191,251,27
192,252,117
193,253,14
194,254,37
195,255,40
196,256,66
197,257,58
198,258,36
199,259,34
200,260,35
201,261,6
202,262,9
203,263,18
204,264,28
205,265,31
206,266,0
207,267,0
208,268,0
209,269,43
210,270,26
211,271,26
212,272,39
213,273,14
214,274,122
215,275,64
216,276,11
217,277,40
218,278,40
219,279,26
220,280,123
221,281,31
222,282,24
223,283,22
224,284,73
225,286,18
226,287,21
227,288,9
228,289,71
229,290,12
230,291,28
231,292,191
232,293,53
233,294,19
234,295,20
235,296,9
236,297,7
237,298,17
238,299,15
239,300,109
240,301,17
241,302,11
242,303,4
243,304,75
244,305,19
245,306,5
246,307,61
247,308,5
248,309,22
249,310,10
250,311,84
251,312,17
252,313,430
253,314,28
254,315,36
255,316,12
256,317,12
257,318,4
258,319,27
259,321,3
260,322,15
261,323,20
262,324,12
263,325,68
264,326,18
265,327,10
266,328,5
267,329,7
268,330,5
269,331,28
270,332,37
271,333,3
272,334,17
273,335,522
274,336,32
275,337,593
276,338,20
277,339,8
278,340,73
279,341,32
280,342,5
281,343,132
282,344,223
283,345,18
284,346,483
285,347,143
286,348,23
287,349,7
288,350,65
289,351,35
290,352,32
291,353,71
292,354,43
293,355,131
294,356,14
295,357,7
296,358,25
297,359,11
298,360,8
299,361,53
300,362,90
301,363,17
302,364,73
303,365,23
304,366,34
305,367,101
306,368,60
307,369,3
308,370,242
309,371,18
310,372,11
311,373,112
312,374,49
313,375,13
314,376,237
315,377,59
316,378,12
317,379,96
318,380,17
319,381,5
320,382,43
321,383,38
322,384,70
323,385,27
324,386,28
325,387,17
326,388,65
327,389,26
328,390,25
329,391,24
330,392,58
331,393,43
332,394,25
333,395,4
334,396,23
335,397,14
336,398,214
337,399,18
338,400,60
339,401,71
340,402,5
341,403,26
342,404,14
343,405,23
344,406,17
345,407,37
346,408,20
347,409,26
348,410,105
349,411,46
350,412,31
351,413,6
352,414,44
353,415,19
354,416,6
355,417,3
356,418,10
357,419,49
358,420,6
359,421,50
360,422,11
361,423,2
362,424,10
363,425,25
364,426,0
365,427,33
366,428,33
367,429,26
368,430,35
369,431,19
370,432,7
371,433,17
372,434,28
373,435,26
374,436,8
375,437,8
376,438,25
377,439,16
378,440,50
379,441,14
380,442,71
381,443,108
382,444,13
383,445,201
384,446,32
385,447,8
386,448,43
387,449,50
388,450,43
389,451,34
390,452,4
391,453,24
392,454,22
393,455,12
394,456,6
395,457,17
396,458,13
397,459,7
398,460,15
399,461,3
400,462,11
401,463,61
402,464,9
403,465,11
404,466,100
405,467,9
406,468,9
407,469,16
408,470,4
409,471,1
410,472,34
411,473,18
412,474,8
413,475,68
414,476,27
415,477,7
416,478,127
417,479,6
418,480,5
419,481,28
420,482,42
421,483,35
422,484,28
423,485,3
424,486,52
425,487,181
426,488,66
427,489,50
428,490,52
429,491,17
430,492,34
431,493,50
432,494,8
433,495,35
434,496,24
435,497,16
436,498,37
437,499,9
438,500,21
439,501,30
440,502,8
441,503,62
442,504,57
443,505,41
444,506,103
445,507,16
446,508,45
447,509,32
448,510,27
449,511,35
450,512,101
451,513,42
452,514,32
453,515,26
454,516,7
455,517,32
456,518,29
457,519,17
458,520,72
459,521,139
460,522,7
461,523,21
462,524,10
463,525,5
464,526,216
465,527,222
466,528,4
467,529,179
468,530,21
469,531,3
470,532,48
471,533,21
472,534,71
473,535,18
474,536,15
475,537,3
476,539,202
477,540,13
478,541,111
479,542,44
480,543,15
481,544,34
482,545,55
483,546,11
484,547,49
485,548,26
486,549,22
487,550,28
488,551,1
489,552,7
490,554,4
491,555,7
492,556,195
493,557,19
494,559,28
495,560,71
496,561,21
497,562,11
498,563,38
499,564,24
500,565,26
501,566,8
502,567,11
503,568,16
504,569,56
505,570,17
506,571,32
507,572,8
508,573,10
509,574,15
510,575,29
511,576,6
512,577,25
513,578,24
514,579,10
515,580,29
516,581,45
517,582,13
518,583,447
519,584,72
520,585,2
521,586,61
522,587,36
523,588,6
524,589,69
525,590,29
526,591,10
527,592,58
528,593,532
529,594,18
530,595,25
531,596,60
532,597,38
533,598,106
534,599,112
535,600,41
536,601,154
537,602,17
538,603,22
539,604,18
540,605,65
541,606,136
542,607,6
543,608,33
544,609,11
545,610,23
546,611,54
547,612,14
548,613,51
549,614,69
550,615,53
551,616,13
552,617,33
553,618,8
554,619,45
555,620,46
556,621,49
557,622,65
558,623,9
559,624,16
560,625,222
561,626,80
562,627,3
563,628,23
564,629,65
565,630,8
566,631,8
567,632,37
568,633,1
569,634,9
570,636,13
571,637,12
572,638,5
573,639,9
574,640,18
575,641,10
576,642,19
577,643,164
578,644,12
579,645,10
580,646,7
581,647,6
582,648,13
583,649,25
584,650,2
585,651,9
586,652,40
587,653,20
588,654,11
589,655,36
590,656,17
591,657,86
592,658,47
593,659,7
594,661,15
595,662,55
596,664,168
597,665,17
598,666,13
599,667,17
600,668,8
601,669,23
602,670,16
603,671,11
604,672,8
605,673,173
606,674,37
607,675,52
608,676,146
609,677,109
610,678,83
611,679,130
612,680,67
613,681,43
614,682,54
615,683,672
616,684,6
617,685,17
618,686,16
619,687,17
620,688,47
621,689,41
622,690,38
623,691,48
624,692,23
625,693,10
626,694,39
627,695,40
628,696,20
629,697,45
630,698,10
631,699,0
632,700,13
633,701,80
634,702,18
635,703,118
636,704,73
637,705,21
638,706,118
639,707,27
640,708,23
641,709,39
642,710,29
643,711,13
644,712,24
645,713,99
646,714,56
647,715,55
648,716,3
649,717,16
650,718,24
651,719,8
652,720,11
653,721,48
654,722,38
655,723,32
656,724,11
657,725,2
658,726,5
659,727,13
660,728,1
661,729,14
662,730,14
663,731,31
664,732,20
665,733,132
666,734,7
667,735,2
668,736,8
669,737,0
670,738,9
671,739,17
672,740,19
673,741,5
674,742,10
675,743,6
676,744,15
677,745,428
678,746,8
679,747,1
680,748,5
681,749,13
682,750,2
683,751,200
684,752,8
685,753,62
686,754,14
687,755,1
688,756,0
689,757,5
690,758,69
691,760,4
692,761,153
693,762,12
694,763,51
695,764,10
696,765,16
697,766,12
698,767,8
699,768,13
700,769,14
701,770,15
702,771,13
703,772,60
704,773,8
705,774,65
706,775,94
707,776,14
708,777,22
709,778,24
710,779,12
711,780,28
712,781,14
713,782,19
714,783,9
715,784,46
716,785,9
717,786,16
718,787,43
719,788,65
720,789,31
721,790,32
722,791,12
723,792,35
724,793,51
725,794,70
726,795,2
727,796,17
728,797,5
729,798,39
730,799,186
731,800,4
732,801,4
733,802,29
734,803,3
735,804,1
736,805,123
737,806,56
738,807,35
739,808,51
740,809,84
741,810,26
742,811,43
743,812,15
744,813,70
745,814,45
746,815,337
747,816,66
748,817,62
749,818,13
750,819,12
751,820,30
752,821,16
753,822,1
754,823,759
755,824,1
756,825,0
757,826,48
758,827,6
759,828,13
760,829,520
761,830,4
762,831,18
763,832,322
764,833,13
765,834,10
766,835,417
767,836,1
768,837,10
769,838,33
770,839,58
771,840,55
772,841,102
773,842,101
774,843,211
775,844,37
776,845,25
777,846,5
778,847,41
779,848,7
780,849,1
781,850,64
782,851,57
783,852,3
784,853,90
785,854,117
786,855,15
787,857,44
788,858,3
789,859,40
790,860,13
791,861,22
792,862,50
793,863,2
794,864,1
795,865,67
796,866,20
797,867,0
798,868,21
799,869,8
800,870,33
801,871,40
