recombinant,sample_id,num_descendant_samples,num_samples,distinct_sample_pango,interval_left,interval_right,num_mutations,Viridian_amplicon_scheme,Artic_primer_version,date_added,group_id,group_size,recombinant_pango,recombinant_scorpio,recombinant_time,recombinant_date,sample,sample_pango,sample_scorpio,sample_time,sample_date,parent_left,parent_left_pango,parent_left_scorpio,parent_left_time,parent_left_date,parent_right,parent_right_pango,parent_right_scorpio,parent_right_time,parent_right_date,oldest_child,oldest_child_pango,oldest_child_scorpio,oldest_child_time,oldest_child_date,parent_mrca,parent_mrca_pango,parent_mrca_scorpio,parent_mrca_time,parent_mrca_date,is_rebar_recombinant,parent_pangonet_distance,net_min_supporting_loci_lft,net_min_supporting_loci_rgt,net_min_supporting_loci_lft_rgt_ge_4,k1000_muts
1280342,ERR9939974,1,1,1,695,958,1,COVID-ARTIC-V4.1,.,2022-06-27,96ff31d5f4,2,BA.4.1,Omicron (BA.4-like),250.8010221258029,2022-06-16,1280341,BA.4.1,Omicron (BA.4-like),239.0,2022-06-27,1253363,BA.5.2.1,Omicron (BA.5-like),267.0000000001,2022-05-30,1232376,BA.4.1,Omicron (BA.4-like),290.0,2022-05-07,1280341,BA.4.1,Omicron (BA.4-like),239.0,2022-06-27,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,False,5,2,16,False,8
663484,SRR20259474,1,1,1,510,1222,1,COVID-AMPLISEQ-V1,.,2021-10-21,1476c0b3d5,2,AY.44,Delta (B.1.617.2-like),496.3838256374448,2021-10-13,663483,AY.44,Delta (B.1.617.2-like),488.0,2021-10-21,484484,AY.43,Delta (B.1.617.2-like),587.0,2021-07-14,588497,AY.44,Delta (B.1.617.2-like),509.0000000001,2021-09-30,663483,AY.44,Delta (B.1.617.2-like),488.0,2021-10-21,220185,B.1.617.2,Delta (B.1.617.2-like),838.2123234436879,2020-11-05,False,2,2,16,False,5
1356368,ERR10219711,2,1,1,695,1453,1,COVID-ARTIC-V4.1,.,2022-08-30,a8925084fc,2,BA.4,Omicron (BA.4-like),199.9727394412781,2022-08-06,1356367,BA.4,Omicron (BA.4-like),175.0,2022-08-30,1253363,BA.5.2.1,Omicron (BA.5-like),267.0000000001,2022-05-30,1246039,BA.4,Omicron (BA.4-like),318.2480134144277,2022-04-09,1356367,BA.4,Omicron (BA.4-like),175.0,2022-08-30,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,False,4,1,16,False,5
1253364,ERR9848224,855,1,1,695,1627,1,COVID-ARTIC-V4.1,.,2022-05-30,3db839925c,2,BA.5.2.1,Omicron (BA.5-like),276.5192180993676,2022-05-21,1253363,BA.5.2.1,Omicron (BA.5-like),267.0000000001,2022-05-30,987426,BA.1,Omicron (BA.1-like),422.0,2021-12-26,1236149,BA.5.2.1,Omicron (BA.5-like),287.0,2022-05-10,1253363,BA.5.2.1,Omicron (BA.5-like),267.0000000001,2022-05-30,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,False,4,1,54,False,7
1279026,ERR9940192,662,1,1,695,1627,0,COVID-ARTIC-V4.1,.,2022-06-26,12ba9c78bd,2,BA.5.1,Omicron (BA.5-like),267.0,2022-05-30,1279025,BA.5.1,Omicron (BA.5-like),240.0,2022-06-26,1253363,BA.5.2.1,Omicron (BA.5-like),267.0000000001,2022-05-30,1189178,BA.5.1,Omicron (BA.5-like),328.00000000040006,2022-03-30,1338895,BA.4.6,Omicron (BA.4-like),258.5799832266726,2022-06-08,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,False,3,2,8,False,6
1372032,ERR10306608,1,1,1,695,1931,1,COVID-ARTIC-V4.1,.,2022-09-16,0c09051b2a,2,BE.1,Omicron (BA.5-like),183.7503194105853,2022-08-22,1372031,BE.1,Omicron (BA.5-like),158.0,2022-09-16,1279026,BA.5.1,Omicron (BA.5-like),267.0,2022-05-30,1278082,BE.1,Omicron (BA.5-like),241.0,2022-06-25,1372031,BE.1,Omicron (BA.5-like),158.0,2022-09-16,1189192,BA.5,Omicron (BA.5-like),357.0000216920677,2022-03-01,False,4,2,10,False,8
440320,ERR6760184,1,1,1,519,1968,0,COVID-ARTIC-V3,3,2021-08-23,4e739f8338,2,AY.60,Delta (B.1.617.2-like),553.0,2021-08-17,440319,AY.60,Delta (B.1.617.2-like),547.0,2021-08-23,397795,AY.44,Delta (B.1.617.2-like),564.0000000001,2021-08-06,424293,AY.60,Delta (B.1.617.2-like),553.0000000001,2021-08-17,440319,AY.60,Delta (B.1.617.2-like),547.0,2021-08-23,220186,B.1.617.2,Delta (B.1.617.2-like),932.8220700506456,2020-08-03,False,2,2,37,False,4
1028159,SRR19798494,1,1,1,519,2470,0,COVID-AMPLISEQ-V1,.,2022-02-04,01fdeda7de,2,BA.1.15,Omicron (BA.1-like),383.0,2022-02-03,1028158,BA.1.15,Omicron (BA.1-like),382.0,2022-02-04,1024501,BA.1.1.18,Omicron (BA.1-like),383.0000000001,2022-02-03,1024834,BA.1.15,Omicron (BA.1-like),404.1267616032486,2022-01-13,1028158,BA.1.15,Omicron (BA.1-like),382.0,2022-02-04,791356,BA.1,Omicron (BA.1-like),471.7849314060084,2021-11-07,False,3,2,11,False,4
982641,ERR8476414,1,1,1,695,2668,2,COVID-ARTIC-V4.1,.,2022-01-23,9fb6e8f4a0,2,AY.5,Delta (B.1.617.2-like),399.10859202585664,2022-01-18,982640,AY.5,Delta (B.1.617.2-like),394.0,2022-01-23,955855,BA.1,Omicron (BA.1-like),401.0,2022-01-16,856984,AY.5,Delta (B.1.617.2-like),443.0,2021-12-05,982640,AY.5,Delta (B.1.617.2-like),394.0,2022-01-23,59,B.1,.,1120.016020087101,2020-01-28,False,6,0,83,False,7
1221979,SRR19693733,1,1,1,510,2942,1,COVID-AMPLISEQ-V1,.,2022-04-26,200c32250a,2,BA.2.3,Omicron (BA.2-like),306.2419629363179,2022-04-21,1221978,BA.2.3,Omicron (BA.2-like),301.0,2022-04-26,1038592,BA.2,Omicron (BA.2-like),379.0,2022-02-07,1203380,BA.2.3,Omicron (BA.2-like),314.0,2022-04-13,1221978,BA.2.3,Omicron (BA.2-like),301.0,2022-04-26,887654,BA.2,Omicron (BA.2-like),536.7743834498397,2021-09-03,False,1,2,9,False,5
1145912,ERR9380041,1,1,1,2833,3542,0,COVID-ARTIC-V4.1,4.1alt,2022-03-15,09d1037b37,2,BA.1,Omicron (BA.1-like),362.78478434238,2022-02-24,1145911,BA.1,Omicron (BA.1-like),343.0,2022-03-15,1001079,BA.2.10,Omicron (BA.2-like),388.0,2022-01-29,1012039,BA.1.1,Omicron (BA.1-like),410.7384882693717,2022-01-07,1145911,BA.1,Omicron (BA.1-like),343.0,2022-03-15,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,4,6,47,True,5
881676,SRR20117827,1,1,1,519,3559,0,COVID-AMPLISEQ-V1,.,2021-12-11,41189b4353,2,AY.39,Delta (B.1.617.2-like),439.0,2021-12-09,881675,AY.39,Delta (B.1.617.2-like),437.0,2021-12-11,397795,AY.44,Delta (B.1.617.2-like),564.0000000001,2021-08-06,875853,AY.39,Delta (B.1.617.2-like),439.0000000001,2021-12-09,881675,AY.39,Delta (B.1.617.2-like),437.0,2021-12-11,220185,B.1.617.2,Delta (B.1.617.2-like),838.2123234436879,2020-11-05,False,2,2,22,False,4
752005,ERR7480952,2,2,1,3402,4100,2,COVID-ARTIC-V4.1,4,2021-11-11,f6576d00f7,3,AY.4,Delta (AY.4-like),479.8664873348634,2021-10-30,752003,AY.4,Delta (AY.4-like),467.0,2021-11-11,569601,AY.6,Delta (B.1.617.2-like),513.0000000001,2021-09-26,577885,AY.4,Delta (AY.4-like),511.0000000001,2021-09-28,752003,AY.4,Delta (AY.4-like),467.0,2021-11-11,220185,B.1.617.2,Delta (B.1.617.2-like),838.2123234436879,2020-11-05,False,2,5,15,True,7
417645,SRR15776056,1,1,1,1878,4181,1,COVID-ARTIC-V3,.,2021-08-14,f87b49c321,2,AY.100,Delta (B.1.617.2-like),572.2695551100967,2021-07-29,417644,AY.100,Delta (B.1.617.2-like),556.0,2021-08-14,388309,AY.14,Delta (B.1.617.2-like),628.2357824093258,2021-06-03,377905,AY.100,Delta (B.1.617.2-like),614.4539081261853,2021-06-17,417644,AY.100,Delta (B.1.617.2-like),556.0,2021-08-14,220186,B.1.617.2,Delta (B.1.617.2-like),932.8220700506456,2020-08-03,True,2,5,29,True,5
854204,SRR20186337,2,1,1,3123,4181,3,COVID-AMPLISEQ-V1,.,2021-12-04,775812d9ea,2,AY.44,Delta (B.1.617.2-like),455.2225644287692,2021-11-23,854203,AY.44,Delta (B.1.617.2-like),444.0,2021-12-04,660451,AY.54,Delta (B.1.617.2-like),489.0000000002,2021-10-20,599527,AY.44,Delta (B.1.617.2-like),505.0000000003,2021-10-04,854203,AY.44,Delta (B.1.617.2-like),444.0,2021-12-04,220186,B.1.617.2,Delta (B.1.617.2-like),932.8220700506456,2020-08-03,False,2,6,39,True,7
1159411,ERR9444530,32,1,1,2833,4321,1,COVID-ARTIC-V4.1,4.1alt,2022-03-20,2eb4972c99,2,XW,Omicron (BA.2-like),348.2962031868103,2022-03-10,1159410,XW,Omicron (BA.2-like),338.0000000001,2022-03-20,946560,BA.1.1.15,Omicron (BA.1-like),404.0,2022-01-13,1073797,BA.2,Omicron (BA.2-like),370.0,2022-02-16,1159410,XW,Omicron (BA.2-like),338.0000000001,2022-03-20,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,4,5,48,True,5
995727,ERR8495032,5,1,1,4185,4321,0,COVID-ARTIC-V4.1,4.1alt,2022-01-27,9692f8f588,2,BA.2,Omicron (BA.2-like),391.0,2022-01-26,995726,BA.2,Omicron (BA.2-like),390.0,2022-01-27,956483,BA.1,Omicron (BA.1-like),400.0,2022-01-17,991339,BA.2.10,Omicron (BA.2-like),391.0000000001,2022-01-26,995726,BA.2,Omicron (BA.2-like),390.0,2022-01-27,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,3,6,44,True,6
1404808,ERR10627135,1,1,1,4552,4586,3,COVID-ARTIC-V4.1,.,2022-11-02,9ae1060b41,2,BN.1.3.7,Omicron (BA.2-like),124.42208093446408,2022-10-20,1404807,BN.1.3.7,Omicron (BA.2-like),111.0,2022-11-02,1280978,BA.5.2.20,Omicron (BA.5-like),259.0,2022-06-07,1391576,BN.1.3,Omicron (BA.2-like),159.00000000019998,2022-09-15,1404807,BN.1.3.7,Omicron (BA.2-like),111.0,2022-11-02,903506,BA.2,Omicron (BA.2-like),474.574440013879,2021-11-04,False,8,5,39,True,8
334514,SRR17445040,1,1,1,2873,4890,0,COVID-ARTIC-V3,.,2021-07-15,6f9c3c1573,2,AY.67,Delta (B.1.617.2-like),594.5320912108334,2021-07-07,334513,AY.67,Delta (B.1.617.2-like),586.0,2021-07-15,260251,AY.14,Delta (B.1.617.2-like),659.0000000003001,2021-05-03,311150,AY.67,Delta (B.1.617.2-like),601.0000000002001,2021-06-30,334513,AY.67,Delta (B.1.617.2-like),586.0,2021-07-15,208115,B.1.617.2,Delta (B.1.617.2-like),904.5142540525596,2020-08-31,False,2,5,16,True,4
1376031,ERR10306538,1,1,1,695,5194,1,COVID-ARTIC-V4.1,.,2022-09-20,b0471fba46,2,BA.5.2,Omicron (BA.5-like),171.82608007197308,2022-09-03,1376030,BA.5.2,Omicron (BA.5-like),154.0,2022-09-20,1253363,BA.5.2.1,Omicron (BA.5-like),267.0000000001,2022-05-30,1370205,BA.5.2,Omicron (BA.5-like),192.95370792795185,2022-08-13,1376030,BA.5.2,Omicron (BA.5-like),154.0,2022-09-20,1205299,BA.5.2,Omicron (BA.5-like),357.0000000302779,2022-03-01,False,1,1,6,False,7
1058654,ERR8691075,154,1,1,4322,5386,0,COVID-ARTIC-V4.1,4.1alt,2022-02-12,f17cc10ee9,2,XQ,Omicron (BA.2-like),381.0,2022-02-05,1058653,XQ,Omicron (BA.2-like),374.0,2022-02-12,908002,BA.1.1.15,Omicron (BA.1-like),427.0,2021-12-21,1030500,BA.2.9,Omicron (BA.2-like),381.0000000001,2022-02-05,1058653,XQ,Omicron (BA.2-like),374.0,2022-02-12,1436802,B.1.1.529,Probable Omicron (Unassigned),957.9818797214036,2020-07-09,True,5,8,43,True,7
496620,SRR16225589,3,1,1,5185,5584,2,COVID-ARTIC-V3,.,2021-09-07,69bc6e40fc,2,AY.103,Delta (B.1.617.2-like),540.8849493125842,2021-08-30,496619,AY.103,Delta (B.1.617.2-like),532.0,2021-09-07,408197,AY.26,Delta (B.1.617.2-like),560.0,2021-08-10,360187,AY.103,Delta (B.1.617.2-like),575.0,2021-07-26,496619,AY.103,Delta (B.1.617.2-like),532.0,2021-09-07,220186,B.1.617.2,Delta (B.1.617.2-like),932.8220700506456,2020-08-03,False,2,4,30,True,6
1330349,ERR10086625,1,1,1,693,5826,0,COVID-ARTIC-V4.1,.,2022-08-02,68be08f901,2,BA.5.2,Omicron (BA.5-like),206.7228827374064,2022-07-30,1330348,BA.5.2,Omicron (BA.5-like),203.0,2022-08-02,1253363,BA.5.2.1,Omicron (BA.5-like),267.0000000001,2022-05-30,1323124,BA.5.2,Omicron (BA.5-like),208.0,2022-07-28,1330348,BA.5.2,Omicron (BA.5-like),203.0,2022-08-02,1205299,BA.5.2,Omicron (BA.5-like),357.0000000302779,2022-03-01,False,1,2,13,False,6
1110637,ERR9219341,2,2,1,3874,5924,1,COVID-ARTIC-V4.1,4.1alt,2022-03-02,9f9e32a90a,3,BA.1.17.2,Omicron (BA.1-like),383.1627037573688,2022-02-03,1110635,BA.1.17.2,Omicron (BA.1-like),356.0,2022-03-02,950676,BA.1.1,Omicron (BA.1-like),415.3582491661989,2022-01-02,1081662,BA.1.17.2,Omicron (BA.1-like),399.25373680979135,2022-01-18,1110635,BA.1.17.2,Omicron (BA.1-like),356.0,2022-03-02,794989,BA.1,Omicron (BA.1-like),476.7517358578432,2021-11-02,False,3,5,7,True,5
550957,ERR6868848,1,1,1,4505,6027,2,COVID-ARTIC-V3,3,2021-09-21,ec8e016efd,2,AY.4,Delta (AY.4-like),524.3720335327168,2021-09-15,550956,AY.4,Delta (AY.4-like),518.0,2021-09-21,358137,AY.98,Delta (B.1.617.2-like),596.0,2021-07-05,478058,AY.4,Delta (AY.4-like),537.0,2021-09-02,550956,AY.4,Delta (AY.4-like),518.0,2021-09-21,220185,B.1.617.2,Delta (B.1.617.2-like),838.2123234436879,2020-11-05,False,2,7,14,True,8
876195,SRR20935082,1,1,1,3149,6040,1,COVID-ARTIC-V4.1,.,2021-12-09,7fe9edac77,2,AY.3,Delta (B.1.617.2-like),450.1626781020668,2021-11-28,876194,AY.3,Delta (B.1.617.2-like),439.0,2021-12-09,505864,AY.44,Delta (B.1.617.2-like),552.4166217034907,2021-08-18,725113,AY.3,Delta (B.1.617.2-like),473.0,2021-11-05,876194,AY.3,Delta (B.1.617.2-like),439.0,2021-12-09,220185,B.1.617.2,Delta (B.1.617.2-like),838.2123234436879,2020-11-05,False,2,4,18,True,5
