,causal_strain,causal_date,causal_lineage,node,max_descendant_samples,num_parents,total_cost,is_hmm_mutation_consistent,is_arg_hmm_path_identical,is_arg_hmm_path_length_consistent,is_path_length_consistent,is_parent_lineage_consistent,num_mutations,interval_left,interval_right,mrca,mrca_date
0,Germany/NW-RKI-I-019153/2021,2021-02-15,B.1.221,384182,1,2,10,True,True,True,True,True,7,60,64,5867,2020-02-22
1,USA/WA-CDC-UW21052696051/2021,2021-05-26,P.1.17,1221351,1,2,5,True,True,True,True,True,2,328,346,179,2020-02-20
2,USA/WA-CDC-UW21060286489/2021,2021-06-02,B.1.617.2,1265796,1,2,9,True,True,True,True,True,6,328,364,179,2020-02-20
3,USA/WA-UW-2142/2020,2020-03-25,B.1.320,6799,1,2,4,True,True,True,True,True,1,92,379,1484,2020-03-08
4,Netherlands/FL-RIVM-25865/2021,2021-04-04,B.1.1.7,760793,1,2,4,True,True,True,True,True,1,228,445,179,2020-02-20
5,USA/CA-CDC-FG-015137/2021,2021-03-25,B.1.1.519,671578,4,2,6,True,True,True,True,True,3,224,583,127383,2020-11-13
6,Mexico/SIN_CIAD_HJ1450/2021,2021-04-14,B.1.1.519,865714,2,2,9,True,True,True,True,True,6,204,847,179,2020-02-20
7,USA/VA-CDC-LC0063689/2021,2021-05-15,AY.26,1147521,1,2,5,True,True,True,True,True,2,830,913,179,2020-02-20
8,Portugal/PT5586/2021,2021-04-06,B.1.1.7,782555,12,2,7,True,True,True,True,True,4,367,913,179,2020-02-20
9,USA/FL-CDC-QDX21953974/2021,2021-02-09,B.1.2,347218,1,2,8,True,True,True,True,True,5,913,925,21563,2020-03-22
10,USA/NJ-CDC-LC0021228/2021,2021-03-02,B.1.1.519,483888,3,2,7,True,True,True,True,True,4,242,936,127140,2020-12-08
11,Netherlands/FR-RIVM-10525/2021,2021-01-06,B.1.177.62,190457,1,2,13,True,True,True,True,True,10,678,958,5867,2020-02-22
12,England/ALDP-15CC34B/2021,2021-05-24,B.1.617.2,1201872,1,2,3,True,True,True,True,True,0,913,1059,179,2020-02-20
13,USA/WA-UW-2021040633666/2021,2021-04-06,B.1.1.7,788449,6,2,12,True,True,True,True,False,9,328,1059,179,2020-02-20
14,USA/WA-UW-21042962862/2021,2021-04-29,B.1.429,1014806,1,2,6,True,True,True,True,True,3,952,1059,179,2020-02-20
15,PuertoRico/PR-CDC-LC0003990/2021,2021-01-13,B.1.243,218189,15,2,5,True,True,True,True,True,2,913,1059,179,2020-02-20
16,Mexico/SIN-InDRE_FB16913_S3359/2021,2021-05-31,B.1.1.519,1249331,1,2,9,True,True,True,True,False,6,242,1067,1,2019-12-26
